S1213_Actual,S1213_Simulated,S00122_Actual,S00122_Simulated,S1488_Actual,S1488_Simulated,DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated,S1226_Actual,S1226_Simulated,S00112_Actual,S00112_Simulated,S1155_Actual,S1155_Simulated,S00108_Actual,S00108_Simulated,S1132_Actual,S1132_Simulated
0.1869835698997661,0.8654164806904682,0.0,0.19170098661429782,0.0,0.051733357324998425,0.0,0.46172097945521134,0.0,0.11196008221551346,0.09785579000375867,0.46128570284664755,0.0,0.046991420998253174,0.0,0.19702941544705932,0.0,0.5169270278182613
0.17135825199668528,1.3104009486029575,0.0,0.30266256747800413,0.0,0.0,0.0,0.0,0.0,0.0,0.08934510033585,0.7167629208825608,0.0,0.0,0.0,0.21644667438448126,0.0,0.12992951349453602
0.15548490284039515,1.2919555651102153,0.0,0.16366125596740247,0.0,0.21170549297512234,0.0,1.691876112250954,0.0,0.0,0.08076135664445859,1.5997464646790416,0.0,0.0,0.0,0.6929389478743029,0.0,1.3349456443108778
0.13935552091051145,1.44508332410465,0.0,0.0,0.0,0.21651044356822607,0.0,0.9888456534076795,0.0,0.053558816628146405,0.07210329390134397,0.5597340066380829,0.0,0.15165850130280484,0.0,0.0,0.0,1.7051488892428641
0.1229617111348351,0.2854025105099455,0.0,0.0,0.0,0.0,0.0,0.09214742908902335,0.0,0.15370496513176293,0.06336961393258933,0.0,0.0,0.07663826528631645,0.0,0.12732405724050533,0.0,0.34016663842469486
0.10629465864962341,0.547722511113357,0.0,0.5216930840202699,0.0,0.39867925074815413,0.0,2.1065523747748447,0.0,0.5559095393102153,0.0545589842504345,0.9335122758134813,0.0,0.0,0.0,0.7545246900615145,0.0,0.9427065299867696
0.08934510033585008,1.6291447488597317,0.0,0.0,0.0,0.0,0.0,0.6613112066371222,0.0,0.08360027091627982,0.04567003683318844,0.0,0.0,0.2622788361357958,0.0,0.24708792630345824,0.0,0.9632309715912282
0.07210329390134407,0.19716120484638977,0.0,0.8307713086740631,0.0,0.04005226031951376,0.0,0.7438901829600392,0.0,0.23312735206166985,0.036701366850428,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0545589842504346,1.4890037739544661,0.0,0.3859509906812645,0.0,0.021815391041204522,0.0,1.0624451323961441,0.0,0.15790346770518832,0.027651531330510157,0.0,0.0,0.042702770913465346,0.0,0.0,0.0,0.0
0.0367013668504281,0.2717811534854341,0.0,0.0,0.0,0.05314172740953745,0.0,0.0,0.0,0.1309064135933807,0.018519047767237597,0.0,0.0,0.21729698026889235,0.0,0.0,0.0,2.8080790970939256
0.018519047767237697,0.6565305952280017,0.0,0.4608809890372647,0.0,0.0,0.0,1.7026292977047113,0.0,0.2868127457947046,0.009302392662313554,0.5322116693875435,0.0,0.23958833459286635,0.0,0.4198784232872923,0.0,2.4098072192148896
0.0,0.5101978741561818,0.0,0.10435036775653107,0.0,0.0,0.0,1.3391261062618023,0.0,0.09894104993053274,0.0,0.0,0.0,0.3067993390875524,0.0,0.0,0.0,0.07914168301315705
