S1226_Actual,S1226_Simulated,S00112_Actual,S00112_Simulated,S1155_Actual,S1155_Simulated,S1151_Actual,S1151_Simulated,S1132_Actual,S1132_Simulated,S1481_Actual,S1481_Simulated
3.713572066704308,3.5956801464788457,4.634728988229636,4.355698515707799,2.5649493574615367,2.599013406349761,4.143134726391533,4.108846500182435,3.912023005428146,4.124104547864934,1.791759469228055,2.6237983037050836
3.713572066704308,3.6264865950754754,4.634728988229636,4.577625828371945,2.5649493574615367,2.5614686732593657,4.143134726391533,4.064771724249733,3.912023005428146,3.851625019494597,1.791759469228055,2.559152036806028
3.713572066704308,3.6403956835968234,4.634728988229636,3.8495162848137743,2.5649493574615367,2.6111221579396786,4.143134726391533,4.158534406075519,3.912023005428146,4.085825916480977,1.791759469228055,2.4565398872957216
3.713572066704308,3.4901103045536686,4.634728988229636,4.319807352200266,2.5649493574615367,2.491819490981134,4.143134726391533,4.129785486149137,3.912023005428146,4.388357540941121,1.791759469228055,2.5746836238222204
3.713572066704308,3.4962429389835368,4.634728988229636,4.5019366847154005,2.5649493574615367,2.568740858296733,4.143134726391533,4.090785234732114,3.912023005428146,4.224478156365953,1.791759469228055,2.960809777005401
3.713572066704308,3.4832000309955893,4.634728988229636,4.362848072432094,2.5649493574615367,2.6058286455299764,4.143134726391533,4.076638332563692,3.912023005428146,3.6267050326971537,1.791759469228055,2.382815054850384
3.713572066704308,3.609154420788339,4.634728988229636,4.344817830157521,2.5649493574615367,2.646118961175182,4.143134726391533,4.091236427068075,3.912023005428146,4.1092455063562,1.791759469228055,2.2001489483796184
3.713572066704308,3.5346050800498987,4.634728988229636,4.335154404417225,2.5649493574615367,2.484622055095604,4.143134726391533,4.181996090980096,3.912023005428146,4.0404922743187015,1.9459101490553132,2.5691193369888716
3.713572066704308,3.6101488594576727,4.634728988229636,4.327219219135345,2.5649493574615367,2.4831955074509455,4.143134726391533,4.097446728714403,3.912023005428146,4.133652366720599,1.9459101490553132,2.751202066882371
3.713572066704308,3.634681665722608,4.634728988229636,4.297784552761923,2.5649493574615367,2.5390355141817547,4.143134726391533,4.0420342033360095,3.912023005428146,4.318597994496726,1.9459101490553132,2.4520453229393664
3.713572066704308,3.5316172049816603,4.634728988229636,4.550295859617909,2.5649493574615367,2.638101943425752,4.143134726391533,4.0814190307453275,3.912023005428146,4.1278580544253165,1.9459101490553132,3.0311587620177822
3.713572066704308,3.648666922652334,4.634728988229636,4.513077307125403,2.5649493574615367,2.6653053367855306,4.143134726391533,4.067485298530283,3.912023005428146,4.209072155344967,1.9459101490553132,2.2322489065113036
