RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S00117_Actual,S00117_Simulated,S1905_Actual,S1905_Simulated,S1488_Actual,S1488_Simulated
0.0,1.4446739821717254,0.0,1.0331471147594533,0.0,0.9629036865276639,0.0,0.836983163160586
0.0,3.1884261536633405,0.0,0.0,0.0,1.3801516010020056,0.0,0.5608019516206182
0.0,0.0,0.0,2.4572715657939286,0.0,1.3320617453337122,0.0,0.5339866022613101
0.0,1.2965599440927271,0.0,2.7189065773408014,0.0,0.1595409353285827,0.0,0.0
0.0,4.037504414303316,0.0,2.0774484501753547,0.0,0.0,0.0,1.4463278027159923
0.0,2.570313338255229,0.0,0.9123483956253065,0.0,0.9975036138279287,0.0,0.0
0.0,1.2702038464104028,0.0,1.388986827732367,0.0,0.0,0.0,1.2157083607820458
0.0,1.817711176151539,0.0,2.7796641985424633,0.0,1.618889182819356,0.0,1.981550332294381
0.0,0.38343220821237933,0.0,2.1506305552681084,0.0,1.5370707243671262,0.0,0.0
0.0,1.5003905405594624,0.0,2.563182176033491,0.0,1.0147255654177152,0.0,1.8191300764742433
0.0,0.0,0.0,2.2116909014624646,0.0,1.0821438335022926,0.0,0.13374162623091213
0.0,2.523819781375545,0.0,2.0924825096371036,0.0,2.1959791626087153,0.0,0.9306667324965594
