Project,Model,Trend,MAE,MAPE,RMSE,MSE
digester,DLM,Linear,3137.955803353224,10.386939770436362,3513.8841380364215,12347381.735543966
collections,DLM,Linear,4817.501296270582,10.267035174352014,5851.540965425598,34240531.67005394
commons-fileupload,DLM,Linear,391.9220392107127,6.654956509465474,414.9949533914562,172220.8113403769
jxpath,DLM,Linear,2022.4222945042145,7.50641821190942,2274.3756839729003,5172784.751847198
commons-jelly,DLM,Linear,1015.6195632063393,2.3140127995803326,1040.833775388102,1083334.9479886496
dbutils,DLM,Linear,980.7496224151345,17.42304667661316,1020.3794047275405,1041174.1295921301
cocoon,DLM,Linear,237057.0093381641,985.2061125865071,238115.74497728102,56699108006.08553
cayenne,DLM,Linear,8609.14512600129,4.053576404776609,8650.063187028822,74823593.1395912
hive,DLM,Linear,135273.60715409738,29.171070956706725,138572.72327357432,19202399635.454605
bcel,DLM,Linear,2342.8234859268073,4.050096729027219,2804.0228074698657,7862543.904811189
zookeeper,DLM,Linear,1018.3302178156489,1.6653512476364645,1389.2563092194882,1930033.0927061543
felix,DLM,Linear,40393.88626990718,21.044442911909485,41274.05373354242,1703547511.599347
beanutils,DLM,Linear,2311.413425123705,3.9089081234563574,2408.306782828167,5799941.560216156
commons-cli,DLM,Linear,4834.59429244833,194.92866784462055,4954.153076082397,24543632.70125668
commons-exec,DLM,Linear,163.2136010958818,2.9518642911385258,186.25594566386383,34691.27729514019
net,DLM,Linear,400.99668525008866,1.348276236905005,429.21871894091805,184228.70868928282
batik,DLM,Linear,49247.99346015122,25.137994918319794,64277.81852670547,4131637954.552081
ognl,DLM,Linear,240.24964134496003,0.8945277278315077,263.591275734336,69480.36064325475
santuario,DLM,Linear,3740.903404828001,3.143114454777836,4212.541314250153,17745504.324264407
daemon,DLM,Linear,538.4746860836024,11.676824898337488,565.5748627810198,319874.92540976935
commons-jexl,DLM,Linear,6583.278054109961,84.4077593225258,6952.8573795174125,48342225.739909746
httpcore,DLM,Linear,2665.860299119316,3.500660766509304,3065.1943889485315,9395416.642041562
thrift,DLM,Linear,1931.0464817684992,8.446309321366229,2138.212975259825,4571954.727569473
configuration,DLM,Linear,1672.5149343622202,3.922818629977518,1863.2263535860811,3471612.4446976846
commons-io,DLM,Linear,2298.728784975963,6.889134451081805,2757.1670947566313,7601970.388408723
httpclient,DLM,Linear,35606.9358845358,34.23570714432786,38138.425614749176,1454539508.3717558
archiva,DLM,Linear,17638.29777957795,18.353967089070032,20058.69685189493,402351319.3962195
validator,DLM,Linear,365.26889367688807,2.250540176663559,432.60912687571613,187150.65665616948
dbcp,DLM,Linear,2611.303749090093,15.081012989261588,2684.9203539591263,7208797.307104001
codec,DLM,Linear,1054.1512927698861,5.933001343536521,1138.8731758222368,1297032.1106074275
vfs,DLM,Linear,1256.42936974189,4.600155634898105,1377.6095107420788,1897807.96408703
