Project,Model,Trend,Estimator,MAE,MAPE,RMSE,MSE
bcel,DLT,linear,stan-map,1433.25,2.54,1756.32,3084669.41
httpcore,DLT,linear,stan-mcmc,2380.3,3.0,3642.85,13270383.78
archiva,DLT,linear,stan-mcmc,16753.02,14.87,19545.53,382027922.68
