Project,Model,Trend,Estimator,MAE,MAPE,RMSE,MSE
digester,DLT,logistic,stan-mcmc,417.07,1.59,515.21,265436.66
collections,DLT,linear,stan-mcmc,4071.28,7.58,4648.95,21612700.55
commons-fileupload,DLT,linear,stan-mcmc,236.39,4.15,301.07,90645.4
jxpath,DLT,loglinear,stan-map,779.58,2.62,1033.6,1068325.62
commons-jelly,DLT,loglinear,stan-mcmc,37.88,0.09,44.23,1956.41
dbutils,DLT,logistic,stan-mcmc,30.1,0.45,39.63,1570.66
cocoon,DLT,linear,stan-map,22435.69,8.15,26466.79,700490757.65
cayenne,DLT,linear,stan-map,3557.47,1.63,3809.61,14513155.5
hive,DLT,linear,stan-mcmc,53064.71,8.45,63311.41,4008334373.0
bcel,DLT,linear,stan-map,1418.06,2.52,1655.61,2741047.41
zookeeper,DLT,linear,stan-mcmc,1080.0,1.7,1164.27,1355518.19
felix,DLT,linear,stan-mcmc,13516.63,5.57,16460.26,270940142.03
beanutils,DLT,loglinear,stan-mcmc,386.65,0.68,455.74,207700.64
commons-cli,DLT,loglinear,stan-map,387.46,4.99,415.81,172896.27
commons-exec,DLT,linear,stan-mcmc,168.24,3.13,217.79,47434.22
net,DLT,linear,stan-mcmc,419.71,1.42,497.5,247503.74
batik,DLT,flat,stan-map,26477.87,21.01,28670.14,821977172.1
ognl,DLT,linear,stan-mcmc,78.57,0.29,93.33,8710.03
santuario,DLT,linear,stan-map,3491.03,2.88,4123.36,17002138.01
daemon,DLT,linear,stan-mcmc,32.98,0.82,38.71,1498.43
commons-jexl,DLT,loglinear,stan-map,1950.2,12.52,2378.5,5657241.65
httpcore,DLT,loglinear,stan-mcmc,1589.07,2.1,2477.27,6136858.04
thrift,DLT,linear,stan-mcmc,391.94,1.89,433.96,188323.07
configuration,DLT,linear,stan-mcmc,1384.98,3.18,2001.7,4006784.91
commons-io,DLT,linear,stan-mcmc,3793.7,10.28,5186.52,26900003.86
httpclient,DLT,logistic,stan-map,20644.52,33.07,21714.79,471532046.17
archiva,DLT,linear,stan-mcmc,7535.59,7.26,13326.23,177588326.51
validator,DLT,linear,stan-map,591.02,3.54,802.24,643589.81
dbcp,DLT,loglinear,stan-map,461.47,3.28,683.69,467437.95
codec,DLT,linear,stan-mcmc,871.33,5.13,1064.88,1133973.98
vfs,DLT,loglinear,stan-map,641.23,2.36,933.44,871316.95
