S1213_Actual,S1213_Simulated,S1488_Actual,S1488_Simulated,S00112_Actual,S00112_Simulated,S1155_Actual,S1155_Simulated,S1151_Actual,S1151_Simulated,S1132_Actual,S1132_Simulated,S1481_Actual,S1481_Simulated
6.231792923176292,5.194460844659627,2.302585092994046,2.427345894429739,4.634728988229636,4.358025076129445,2.5649493574615367,2.5986783502196977,4.143134726391533,4.109089806957299,3.912023005428146,4.123671636980064,1.8458266904983307,2.6344328271877484
6.231137400373402,5.3692826055308025,2.302585092994046,2.8858387435250656,4.634728988229636,4.305830628494569,2.5649493574615367,2.616091002390134,4.143134726391533,4.044258764974464,3.912023005428146,4.178543422902148,1.8971199848858813,2.1846715218464183
6.230481447578482,5.134176028177991,2.302585092994046,2.9393569210555426,4.634728988229636,4.248195501964155,2.5649493574615367,2.671223942645235,4.143134726391533,4.09872999369364,3.912023005428146,4.160818464646936,1.9459101490553132,2.5080673337973756
6.230700146321836,6.160045243015198,2.302585092994046,2.5077221220478743,4.634728988229636,4.278601491758811,2.5649493574615367,2.520963175261498,4.143134726391533,4.1509735757364785,3.912023005428146,4.541730731578042,1.9459101490553132,1.781790350735057
6.230918797246507,5.174998963919267,2.302585092994046,2.3894408849872972,4.634728988229636,4.276712935774859,2.5649493574615367,2.635555320274611,4.143134726391533,4.047320925957191,3.912023005428146,4.022945505960115,1.9459101490553132,2.6111407027688993
6.231137400373402,5.5197765533627114,2.302585092994046,2.2135473151745866,4.634728988229636,4.154664031856829,2.5649493574615367,2.6231219613612904,4.143134726391533,4.1214723402503255,3.912023005428146,4.171003589726837,1.9459101490553132,1.6036991699242384
6.231355955723415,5.4713429429313365,2.302585092994046,2.399189936362942,4.634728988229636,4.447734835180613,2.5649493574615367,2.5449265961348866,4.143134726391533,4.086229847910193,3.912023005428146,4.178768535201677,1.9459101490553132,2.4453433728182414
6.231574463317423,4.5276451365240975,2.302585092994046,2.2680659149221514,4.634728988229636,4.218853819467807,2.5649493574615367,2.6960842241001446,4.143134726391533,4.138206994703489,3.912023005428146,4.1104490277083645,1.9459101490553132,1.972787498386099
6.231792923176292,5.481444965809083,2.302585092994046,2.4350331219011245,4.634728988229636,4.3540536559783325,2.5649493574615367,2.6282083842773503,4.143134726391533,4.101484002692128,3.912023005428146,4.007107516578321,1.9459101490553132,3.147415178311838
6.232011335320876,5.174349124074001,2.302585092994046,2.510940798695592,4.634728988229636,4.273267143231351,2.5649493574615367,2.71329938233922,4.143134726391533,4.138696920959314,3.912023005428146,4.081498640677817,1.9459101490553132,2.5097254772444124
6.232229699772011,4.613213002763814,2.302585092994046,2.127587141315471,4.634728988229636,4.0398487154493745,2.5649493574615367,2.6004294823652856,4.143134726391533,4.095132795461058,3.912023005428146,4.344836969110903,1.9459101490553132,2.324017654477383
6.2324480165505225,5.0824366398558665,2.302585092994046,2.3910405723779475,4.634728988229636,4.023717409495745,2.5649493574615367,2.59342062784186,4.143134726391533,4.192414222066484,3.912023005428146,4.104786021039441,1.9459101490553132,2.8193636320043014
