RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S00117_Actual,S00117_Simulated,S00108_Actual,S00108_Simulated,S1151_Actual,S1151_Simulated,S1132_Actual,S1132_Simulated
0.0,0.0,1.0986122886681098,0.747335632553444,0.0,0.0,0.0,0.0,0.0,0.18393647179709674
0.0,0.0,1.0986122886681098,0.5966919275615084,0.0,0.0,0.0,0.0,0.0,0.2260553595975462
0.0,0.0,1.0986122886681098,0.9306401405176981,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0986122886681098,1.630806235386777,0.0,0.0,0.0,0.0,0.0,0.1172256150885724
0.0,0.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,0.03973140581465137
0.0,0.0,1.0986122886681098,1.1290108542017123,0.0,0.0,0.0,0.0,0.0,0.4201955074086685
0.0,0.0,1.0986122886681098,1.1716031415083474,0.0,0.0,0.0,0.0,0.0,0.06896834242406116
0.0,0.0,1.0986122886681098,0.31834035486379486,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0986122886681098,0.8124301985437035,0.0,0.0,0.0,0.0,0.0,0.3784849488250502
0.0,0.0,1.0986122886681098,0.28036134901678017,0.0,1.2783300739693846e-06,0.0,0.0,0.0,0.19845531377480227
0.0,0.0,1.0986122886681098,1.3272554854640357,0.0,0.0,0.0,0.0,0.0,0.5203004744962784
0.0,4.7180348149384785e-07,1.0986122886681098,1.5979087008925263,0.0,0.0,0.0,0.0,0.0,0.0
