Project,Model,Trend,Estimator,MAE,MAPE,RMSE,MSE
digester,DLT,linear,stan-mcmc,12989.12,53.08,14782.05,218508905.91
collections,DLT,linear,stan-mcmc,1944.77,3.94,2335.56,5454850.24
commons-fileupload,DLT,flat,stan-mcmc,143.67,2.47,181.19,32830.83
jxpath,DLT,flat,stan-map,1317.85,4.7,1887.63,3563129.64
commons-jelly,DLT,linear,stan-map,1664.36,4.4,1815.74,3296899.88
dbutils,DLT,loglinear,stan-map,265.93,3.58,442.66,195944.85
cocoon,DLT,linear,stan-mcmc,100924.71,38.69,105783.64,11190179051.16
cayenne,DLT,linear,stan-map,7040.04,3.19,7184.88,51622528.26
hive,DLT,linear,stan-mcmc,13133.95,2.0,15285.12,233634854.49
bcel,DLT,linear,stan-mcmc,1411.94,2.5,1725.07,2975849.3
zookeeper,DLT,linear,stan-mcmc,762.71,1.2,960.22,922016.95
felix,DLT,linear,stan-map,15991.64,6.24,20345.3,413931316.48
beanutils,DLT,linear,stan-map,1544.61,2.77,1830.66,3351310.11
commons-cli,DLT,linear,stan-map,833.61,11.45,1637.21,2680459.07
commons-exec,DLT,linear,stan-map,1203.11,23.24,1212.82,1470921.27
net,DLT,linear,stan-mcmc,527.81,1.87,588.31,346106.6
batik,DLT,loglinear,stan-map,13136.22,11.27,25746.97,662906697.31
ognl,DLT,loglinear,stan-map,336.91,1.28,432.14,186741.35
santuario,DLT,linear,stan-map,11863.39,10.14,13963.75,194986448.81
daemon,DLT,linear,stan-map,318.94,7.87,360.21,129751.76
commons-jexl,DLT,linear,stan-mcmc,1514.73,9.36,1811.98,3283272.88
httpcore,DLT,linear,stan-map,2433.48,3.07,3652.25,13338918.13
thrift,DLT,linear,stan-mcmc,708.74,3.44,803.35,645368.79
configuration,DLT,linear,stan-mcmc,896.56,2.25,1144.87,1310737.07
commons-io,DLT,linear,stan-mcmc,695.18,2.24,1664.3,2769905.27
httpclient,DLT,logistic,stan-mcmc,7398.95,11.14,9969.43,99389444.68
archiva,DLT,linear,stan-map,16584.47,14.72,19351.09,374464502.9
validator,DLT,loglinear,stan-map,233.72,1.42,484.07,234319.39
dbcp,DLT,flat,stan-mcmc,292.15,2.03,442.1,195449.64
codec,DLT,linear,stan-mcmc,389.58,2.31,480.81,231179.73
vfs,DLT,linear,stan-mcmc,962.67,3.66,1194.46,1426733.24
