,Actual_last_5_vals,Mean_Simulation,Simulated_15,Simulated_26,Simulated_10,Simulated_13,Simulated_25,Simulated_3,Simulated_8,Simulated_14,Simulated_1,Simulated_12,Simulated_23,Simulated_11,Simulated_28,Simulated_22,Simulated_27,Simulated_5,Simulated_20,Simulated_18,Simulated_19,Simulated_21,Simulated_24,Simulated_17,Simulated_4,Simulated_2,Simulated_29,Simulated_6,Simulated_9,Simulated_16,Simulated_0,Simulated_7
0,108851.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,110243.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,110861.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,121632.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,117762.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,133355.66,133355.66,133355.66,133355.66,133355.66,133355.66,133355.66,133355.66,133355.66,133355.66,133355.66,133355.66,133355.66,133355.66,133355.66,133355.66,133355.66,133355.66,133355.66,133355.66,133355.66,133355.66,133355.66,133355.66,133355.66,133355.66,133355.66,133355.66,133355.66,133355.66,133355.66
6,,135530.74,128088.33,133635.96,123931.15,136428.19,125202.75,123056.24,143557.43,135541.31,142809.79,134271.35,135203.76,142785.61,143197.61,145050.17,147698.74,133521.54,144336.22,111298.98,131781.87,116263.93,160079.43,119990.01,125250.06,147232.64,147007.26,133160.37,169548.79,127890.54,145628.31,112473.84
7,,130965.61,139674.3,131527.19,124607.83,138333.12,131157.34,130630.59,122629.55,133584.65,127012.24,139938.48,133218.95,142411.91,143975.48,118935.14,138909.7,130519.28,116033.93,142820.49,144439.35,120487.79,151725.82,125681.92,123628.63,155669.76,109242.12,119674.04,148149.42,128713.12,125252.4,90383.74
8,,134405.87,134678.62,140280.81,142329.99,151203.63,147387.82,120768.96,127081.69,141448.29,121048.24,145719.59,115567.91,167388.26,121484.77,154242.0,118228.31,133771.6,166676.54,140869.83,147401.64,119429.89,115068.9,139542.97,116700.54,135070.84,91835.68,160838.15,130804.42,176070.98,128123.71,81111.52
9,,136208.44,123957.33,127515.39,137780.29,130899.19,144018.79,123908.31,132734.86,140813.15,156343.36,151783.42,134624.23,131101.17,129377.29,158586.88,126933.11,102222.46,143521.79,155173.63,132785.7,147161.86,145001.19,117149.26,122358.32,154180.95,125489.65,115567.78,158046.86,164264.94,113092.98,139859.03
10,,134355.34,135270.17,120368.41,126060.75,127387.44,121995.81,142809.1,113907.18,100732.44,140805.0,148818.77,166232.41,133879.46,117228.46,135985.24,157130.64,169491.87,146807.81,119184.53,178486.75,109775.26,126526.78,172990.52,99430.17,164769.04,138483.81,96210.85,157464.73,157464.51,74831.3,130130.85
11,MAE,,4931.63,5168.55,5957.99,6223.31,7278.59,7866.72,7934.78,7983.27,8529.1,8597.4,9146.59,9544.45,9592.64,10899.06,11390.05,12035.38,12628.94,12781.1,12962.09,13375.68,13544.53,13942.65,14016.38,14242.87,15102.91,16479.9,16625.19,17120.58,17455.41,20801.37
