Project,Model,MAE,MAPE,RMSE,MSE
collections,DGLM,2350.84,5.0,902.56,814620.31
commons-fileupload,DGLM,58.51,1.14,41.84,1751.0
dbutils,DGLM,1102.87,21.57,725.67,526595.09
felix,DGLM,32727.67,23.52,12380.25,153270492.4
beanutils,DGLM,2979.41,6.6,3653.73,13349725.2
net,DGLM,881.83,3.2,457.1,208937.27
ognl,DGLM,136.75,0.51,104.88,10999.59
daemon,DGLM,24.59,0.63,6.31,39.81
commons-io,DGLM,586.77,2.22,256.64,65861.99
httpclient,DGLM,2976.75,3.71,1553.67,2413882.53
