S00117_Actual,S00117_Simulated,S1151_Actual,S1151_Simulated
1.791759469228055,1.781611849603637,2.3978952727983707,2.2821398388678324
1.791759469228055,1.7676455662267339,2.3978952727983707,2.4866738395652526
1.791759469228055,1.777052685824732,2.3978952727983707,2.066517953879437
1.791759469228055,1.8709079194269282,2.3978952727983707,2.253414688211559
1.791759469228055,2.132456859039819,2.3978952727983707,2.231635956206059
1.791759469228055,2.0644999904348853,2.3978952727983707,2.3146538281474562
1.791759469228055,1.8820451253702102,2.3978952727983707,2.0876523582627664
1.791759469228055,1.2134295244086792,2.3978952727983707,2.3135211484961826
1.791759469228055,1.8338989643281771,2.3978952727983707,2.2924284287277166
1.791759469228055,1.850906775856393,2.3978952727983707,2.086372654647459
1.8718021769015913,1.7118805150463734,2.3978952727983707,2.3287023257553234
1.9459101490553132,2.251401662531523,2.3978952727983707,2.489472095145043
