Project,Model,MAE,MAPE,RMSE,MSE
digester,DGLM,2204.75,8.98,2559.74,6552264.11
collections,DGLM,2456.6,5.09,2999.23,8995354.91
commons-fileupload,DGLM,173.88,3.53,177.55,31525.08
jxpath,DGLM,20.25,0.07,25.1,630.08
commons-jelly,DGLM,146.91,0.35,147.88,21869.82
dbutils,DGLM,1046.66,24.41,1056.6,1116399.98
cocoon,DGLM,59856.51,40.24,72417.18,5244247787.97
cayenne,DGLM,15920.13,8.08,16282.09,265106340.03
hive,DGLM,151533.28,64.45,160464.23,25748769239.0
bcel,DGLM,472.89,0.84,621.79,386621.79
zookeeper,DGLM,1799.03,3.04,1799.55,3238386.52
felix,DGLM,82252.69,89.38,84687.15,7171912789.16
beanutils,DGLM,1913.91,3.64,1873.92,3511558.69
commons-cli,DGLM,460.83,8.16,534.32,285494.04
commons-exec,DGLM,666.11,16.02,634.26,402284.33
net,DGLM,1685.08,6.57,1658.99,2752253.6
batik,DGLM,38206.75,28.93,38266.19,1464300999.95
ognl,DGLM,254.13,0.96,260.71,67967.14
santuario,DGLM,16235.57,18.92,15787.3,249238779.52
daemon,DGLM,247.0,6.8,264.05,69721.98
commons-jexl,DGLM,914.41,8.77,903.8,816850.18
httpcore,DGLM,9253.44,17.42,9210.38,84831122.5
thrift,DGLM,3645.17,23.68,3657.6,13378052.33
configuration,DGLM,3879.21,11.76,3770.63,14217624.47
commons-io,DGLM,3400.55,15.1,3579.52,12812933.5
httpclient,DGLM,14018.7,21.6,14331.21,205383485.79
archiva,DGLM,15230.27,18.81,15366.17,236119262.64
validator,DGLM,127.06,0.87,162.01,26248.77
dbcp,DGLM,1459.02,8.73,1412.17,1994211.18
codec,DGLM,2030.98,16.94,2117.39,4483335.54
vfs,DGLM,1155.83,4.86,1074.35,1154220.95
