S1213_Actual,S1213_Simulated,S00122_Actual,S00122_Simulated,S1488_Actual,S1488_Simulated,S1226_Actual,S1226_Simulated,S00112_Actual,S00112_Simulated,S1155_Actual,S1155_Simulated,S00108_Actual,S00108_Simulated,S1151_Actual,S1151_Simulated,S1132_Actual,S1132_Simulated
0.1869835698997661,0.8654164806904682,0.0,0.19170098661429782,0.0,0.051733357324998425,0.0,0.11196008221551346,0.09785579000375867,0.46128570284664755,0.0,0.046991420998253174,0.0,0.19702941544705932,0.09785579000375867,0.6025512276968152,0.0,0.5169270278182613
0.17135825199668528,1.1149240076732434,0.0,0.0,0.0,0.0,0.0,0.5564533234477314,0.08934510033585,0.0,0.0,0.15122693546519175,0.0,0.45159778893706526,0.08934510033585,0.3536313657037363,0.0,0.6792507921253678
0.15548490284039515,0.4722901730551066,0.0,0.09589880650805359,0.0,0.3064158428423599,0.0,0.5930449439985761,0.08076135664445859,0.9023498575430121,0.0,0.1723518906296395,0.0,0.5338628978171144,0.08076135664445859,0.3902838751799981,0.0,0.4353552019846001
0.13935552091051145,0.5624325794656326,0.0,0.0,0.0,0.23207731725919162,0.0,0.9035779666274298,0.07210329390134397,0.0,0.0,0.0,0.0,0.6722199474608554,0.07210329390134397,0.9051872066075055,0.0,0.59801269728313
0.1229617111348351,1.4733934239723463,0.0,0.30717597036435784,0.0,0.0,0.0,0.09846702237923634,0.06336961393258933,0.0,0.0,0.0,0.0,0.6520693586156471,0.06336961393258933,1.1818937826606266,0.0,0.7999964483808562
0.10629465864962341,0.7411448466311817,0.0,0.11524794468874079,0.0,0.0,0.0,0.5152094029987324,0.0545589842504345,0.16216806485493251,0.0,0.0,0.0,1.0841822238032628,0.0545589842504345,0.0,0.0,1.6846412103177513
0.08934510033585008,0.28972708787579526,0.0,0.5815144848415569,0.0,0.5118850031987304,0.0,0.08773195467472639,0.04567003683318844,0.0,0.0,0.06271757363193023,0.0,0.2966699014097953,0.04567003683318844,0.3913010375843686,0.0,0.0
0.07210329390134407,0.6599138284931377,0.0,0.1747653739745802,0.0,0.0,0.0,0.872310597965622,0.036701366850428,0.36540312267472197,0.0,0.0,0.0,0.3918249469655478,0.036701366850428,0.9882471693224835,0.0,0.5663178372568409
0.0545589842504346,0.27947157515473586,0.0,1.1407711555166353,0.0,0.06746560913514914,0.0,0.15293362851941017,0.027651531330510157,0.0,0.0,0.003972471630120031,0.0,0.23956399992111,0.027651531330510157,0.8644513669713574,0.0,0.8688776623509786
0.0367013668504281,1.0180369241933964,0.0,0.49017627551149257,0.0,0.0,0.0,0.12605901194394858,0.018519047767237597,0.0,0.0,0.20273675839067226,0.0,0.008940970758347766,0.018519047767237597,0.6579738686407817,0.0,1.1539557011709354
0.018519047767237697,0.7383058445176225,0.0,0.5304730124974949,0.0,0.0,0.0,0.5014789042825307,0.009302392662313554,1.1672229514370251,0.0,0.017894169263150007,0.0,0.562448909983476,0.009302392662313554,0.1804789914207408,0.0,1.060184891627003
0.0,0.9625636502941141,0.0,0.0,0.0,0.38527251381237093,0.0,0.6550295498876313,0.0,1.852382399128504,0.0,0.0,0.0,0.0,0.0,0.35254229426954914,0.0,1.4187119394377343
