Project,Model,Trend,Estimator,MAE,MAPE,RMSE,MSE
digester,DLT,logistic,stan-mcmc,452.43,1.73,587.57,345236.81
collections,DLT,linear,stan-mcmc,3150.64,5.89,3624.21,13134902.7
commons-fileupload,DLT,linear,stan-mcmc,260.8,4.63,321.65,103459.47
jxpath,DLT,loglinear,stan-map,934.45,3.14,1206.35,1455283.64
commons-jelly,DLT,loglinear,stan-mcmc,53.52,0.12,60.7,3683.97
dbutils,DLT,logistic,stan-map,67.52,1.01,77.66,6030.84
cocoon,DLT,linear,stan-mcmc,13290.69,5.28,15633.4,244403068.58
cayenne,DLT,logistic,stan-map,10088.23,4.56,10193.35,103904319.93
hive,DLT,linear,stan-mcmc,55759.67,8.83,66767.29,4457871611.24
bcel,DLT,linear,stan-mcmc,1281.77,2.3,1562.18,2440408.39
zookeeper,DLT,linear,stan-map,980.03,1.55,1218.52,1484797.07
felix,DLT,linear,stan-map,11042.3,4.29,17449.53,304485976.26
beanutils,DLT,linear,stan-mcmc,364.54,0.64,431.56,186240.85
commons-cli,DLT,loglinear,stan-mcmc,194.69,2.52,224.23,50280.24
commons-exec,DLT,linear,stan-map,173.16,3.22,215.49,46433.93
net,DLT,linear,stan-mcmc,277.89,0.96,334.16,111665.87
batik,DLT,logistic,stan-map,36491.36,33.11,49367.18,2437118184.34
ognl,DLT,linear,stan-mcmc,44.1,0.16,50.08,2507.95
santuario,DLT,linear,stan-map,3752.35,3.08,4790.9,22952747.98
daemon,DLT,linear,stan-map,27.55,0.68,32.98,1087.71
commons-jexl,DLT,loglinear,stan-mcmc,2159.81,13.82,2582.09,6667206.46
httpcore,DLT,loglinear,stan-map,1668.28,2.21,2504.92,6274611.53
thrift,DLT,linear,stan-mcmc,242.04,1.17,294.94,86989.86
configuration,DLT,linear,stan-map,970.31,2.34,1052.32,1107384.04
commons-io,DLT,linear,stan-map,3668.04,9.88,5035.85,25359763.41
httpclient,DLT,logistic,stan-map,18473.27,29.48,20242.29,409750262.74
archiva,DLT,linear,stan-map,9539.64,9.06,15760.55,248394943.94
validator,DLT,linear,stan-map,510.35,3.06,692.08,478972.31
dbcp,DLT,loglinear,stan-map,507.23,3.62,734.78,539906.05
codec,DLT,linear,stan-map,738.21,4.36,891.59,794939.58
vfs,DLT,linear,stan-map,701.61,2.6,929.15,863326.53
