Project,Model,Trend,MAE,MAPE,RMSE,MSE
digester,DLM,Linear,1778.92,7.42,2013.33,4053480.82
collections,DLM,Linear,2392.67,4.75,3115.74,9707836.77
commons-fileupload,DLM,Linear,3704.61,1292.65,4600.42,21163858.68
jxpath,DLM,Linear,2050.3,7.68,2429.57,5902829.99
commons-jelly,DLM,Linear,3588.72,7.57,4085.16,16688545.58
dbutils,DLM,Linear,312.84,4.43,341.09,116340.01
cocoon,DLM,Linear,61901.13,33.48,76365.37,5831669563.94
cayenne,DLM,Linear,13112.68,6.33,13646.6,186229726.46
hive,DLM,Linear,42915.22,6.74,58350.75,3404809612.49
bcel,DLM,Linear,13663.6,18.92,15123.24,228712472.84
zookeeper,DLM,Linear,212.79,0.34,277.5,77005.82
felix,DLM,Linear,3408.73,1.51,3864.49,14934294.32
beanutils,DLM,Linear,15795.8,19.48,19960.24,398411307.38
commons-cli,DLM,Linear,4029.28,162.17,4471.56,19994841.54
commons-exec,DLM,Linear,198.46,3.9,226.8,51437.96
net,DLM,Linear,2077.56,6.57,2158.35,4658490.64
batik,DLM,Linear,32586.4,20.31,38053.57,1448074193.29
ognl,DLM,Linear,133.97,0.5,151.48,22945.86
santuario,DLM,Linear,20933.6,12.97,29793.37,887644996.14
daemon,DLM,Linear,102.19,2.45,117.88,13895.4
commons-jexl,DLM,Linear,1198.18,9.06,1416.3,2005911.52
httpcore,DLM,Linear,20957.83,43.6,22659.82,513467536.15
thrift,DLM,Linear,4591.18,17.12,5783.8,33452374.18
configuration,DLM,Linear,1102.03,2.61,1321.54,1746461.86
commons-io,DLM,Linear,2701.45,8.31,3939.41,15518966.08
httpclient,DLM,Linear,2117.82,3.59,2963.37,8781544.06
archiva,DLM,Linear,9249.47,10.98,13126.86,172314494.54
validator,DLM,Linear,414.45,2.64,459.03,210711.34
dbcp,DLM,Linear,789.42,5.86,1075.62,1156960.71
codec,DLM,Linear,1059.28,5.89,1166.95,1361769.96
vfs,DLM,Linear,1340.6,4.8,1525.5,2327149.25
