RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S1488_Actual,S1488_Simulated,S1905_Actual,S1905_Simulated,UselessImportCheck_Actual,UselessImportCheck_Simulated
4.663439094112067,5.103045554277688,3.1780538303479458,3.6392436171574167,2.70805020110221,3.3928598908698673,4.736198448394496,4.451906016607533
4.68213122712422,5.112888928806743,3.258096538021482,1.86894005475079,2.70805020110221,4.386189086441222,4.564348191467836,4.769951168990412
4.948759890378168,4.688143782115187,3.258096538021482,2.777448986135972,2.70805020110221,3.9783703391352723,3.784189633918261,4.6241791979301405
4.955827057601261,5.746842642990853,3.258096538021482,4.412832358091816,2.70805020110221,3.0693453385792315,4.02535169073515,4.536140116104392
4.955827057601261,3.4053306706717446,3.258096538021482,2.6836616074886304,2.70805020110221,4.883766584169173,4.060443010546419,4.509248253134488
4.969813299576001,4.150592089509563,3.258096538021482,4.442736967263582,2.70805020110221,1.6520529992935813,4.143134726391533,4.502359932920398
4.969813299576001,6.082422246101748,3.258096538021482,4.028927326291001,2.70805020110221,3.620197032597104,4.127134385045092,4.299295878402067
4.962844630259907,5.031405298849407,3.2188758248682006,4.266213765552369,2.5649493574615367,3.576028252776039,4.23410650459726,4.560473022043219
4.962844630259907,4.3601693587981645,3.5553480614894135,3.385158895968024,2.5649493574615367,2.302956141525444,4.23410650459726,4.2146195320527715
4.962844630259907,4.42653815075862,3.5553480614894135,3.517101322806889,2.5649493574615367,2.681487185801131,4.23410650459726,4.432736460259748
4.962844630259907,3.553637968256284,3.5553480614894135,3.0801143814018883,2.5649493574615367,2.713822084038542,4.2626798770413155,4.959842737739953
4.962844630259907,3.202470565898598,3.5553480614894135,3.2921212872867507,2.5649493574615367,3.9771226193794265,4.248495242049359,4.332971943784717
