Project,Model,MAE,MAPE,RMSE,MSE
bcel,ETS,1589.44,2.86,1926.45,3711215.75
httpcore,ETS,2971.8,3.93,4323.07,18688897.04
archiva,ETS,14359.07,14.65,21164.83,447949842.56
