regressor,regressor_sign,coefficient,coefficient_lower,coefficient_upper,Pr(coef >= 0),Pr(coef < 0)
S1213,Regular,-0.05416955,-1.8227465,1.5029444999999997,0.48,0.52
RedundantThrowsDeclarationCheck,Regular,0.12803865,-1.9686135,2.076692,0.53,0.47
S00117,Regular,-0.01137324,-1.4528725,0.9809777499999995,0.49,0.51
S00122,Regular,0.2057275,-1.2392215,1.6236185,0.6,0.4
S1488,Regular,0.180294,-1.8292154999999999,1.7184344999999996,0.54,0.45999999999999996
S1905,Regular,0.1434425,-1.4237405,1.7642789999999997,0.59,0.41000000000000003
UselessImportCheck,Regular,0.05215335,-1.5828309999999999,1.6809644999999998,0.53,0.47
DuplicatedBlocks,Regular,0.2930835,-1.421878,1.9505454999999996,0.6,0.4
S1226,Regular,0.250019,-1.5746419999999999,1.7086154999999998,0.57,0.43000000000000005
S00112,Regular,0.5061175,-0.9108440999999999,1.8247319999999996,0.71,0.29000000000000004
S1155,Regular,0.05727185,-1.125213,1.5902945,0.52,0.48
S00108,Regular,0.1702785,-1.264527,1.5047794999999997,0.59,0.41000000000000003
S1151,Regular,0.00055156,-1.44811,1.6717414999999995,0.5,0.5
S1132,Regular,0.09455079999999999,-1.7298865,1.6651359999999997,0.53,0.47
S1481,Regular,0.1355185,-1.7737144999999999,2.4412835,0.57,0.43000000000000005
