regressor,regressor_sign,coefficient,coefficient_lower,coefficient_upper,Pr(coef >= 0),Pr(coef < 0)
S1213,Regular,0.37702199999999997,-1.2281775,2.0464605,0.74,0.26
RedundantThrowsDeclarationCheck,Regular,-0.1036562,-1.8562795,1.5822789999999995,0.44,0.56
S00117,Regular,2.0376149999999997,0.7261363500000001,3.9877735,1.0,0.0
S00122,Regular,6.950044999999999,6.6633320000000005,7.272283,1.0,0.0
S1488,Regular,-0.036152065000000004,-1.64991,1.5635205,0.48,0.52
S1905,Regular,0.1065229,-1.273342,1.2441959999999996,0.54,0.45999999999999996
UselessImportCheck,Regular,-0.17198750000000002,-1.781905,1.3403074999999998,0.47,0.53
DuplicatedBlocks,Regular,8.347025,5.1585535,10.652569999999999,1.0,0.0
S1226,Regular,0.0547217,-1.500012,1.4598819999999997,0.53,0.47
S00112,Regular,0.5742955000000001,-1.0588339999999998,1.7814179999999995,0.69,0.31000000000000005
S1155,Regular,-0.09729449999999999,-1.6038335,1.6068604999999998,0.45,0.55
S00108,Regular,-0.139797,-1.7200879999999998,1.8665299999999998,0.43,0.5700000000000001
S1151,Regular,-0.0672362,-1.458957,1.670789499999999,0.48,0.52
S1132,Regular,0.413603,-1.2849975,1.7968759999999993,0.62,0.38
S1481,Regular,1.61417,-0.535914,3.11915,0.9,0.09999999999999998
