regressor,regressor_sign,coefficient,coefficient_lower,coefficient_upper,Pr(coef >= 0),Pr(coef < 0)
S1213,Regular,0.11648449999999999,-1.3710985,1.479917499999999,0.54,0.45999999999999996
RedundantThrowsDeclarationCheck,Regular,0.2565865,-1.5919335,1.5679144999999992,0.6,0.4
S00117,Regular,0.01846825,-1.601496,1.5099359999999993,0.5,0.5
S00122,Regular,-0.08602960000000001,-1.821285,1.7265904999999995,0.46,0.54
S1488,Regular,-0.01642175,-1.514349,1.3125199999999997,0.49,0.51
S1905,Regular,0.1357135,-1.841309,1.7981095,0.58,0.42000000000000004
UselessImportCheck,Regular,0.2842775,-1.3483534999999998,1.516921,0.58,0.42000000000000004
DuplicatedBlocks,Regular,0.02555735,-1.4640495,1.4001919999999997,0.51,0.49
S1226,Regular,0.03446245,-1.511274,1.4720455,0.51,0.49
S00112,Regular,0.1948145,-1.283484,1.7921589999999996,0.58,0.42000000000000004
S1155,Regular,-0.13291185,-1.689962,1.6316699999999997,0.48,0.52
S00108,Regular,0.21179350000000002,-1.6075085,1.6902524999999993,0.52,0.48
S1151,Regular,-0.013809345,-1.8838549999999998,1.8117779999999992,0.48,0.52
S1132,Regular,-0.038459999999999994,-1.4846345,1.5336034999999995,0.49,0.51
S1481,Regular,-0.06313245,-1.2957765,1.2325434999999996,0.47,0.53
