regressor,regressor_sign,coefficient
S1213,Regular,-0.0149136
RedundantThrowsDeclarationCheck,Regular,0.188914
S00117,Regular,0.0334126
S00122,Regular,0.0146738
S1488,Regular,0.0634075
S1905,Regular,0.0705059
UselessImportCheck,Regular,0.131189
DuplicatedBlocks,Regular,0.0742596
S1226,Regular,-0.0529713
S00112,Regular,0.189758
S1155,Regular,-0.0018171
S00108,Regular,0.00282795
S1151,Regular,-0.000205052
S1132,Regular,0.108128
S1481,Regular,0.0406796
