regressor,regressor_sign,coefficient,coefficient_lower,coefficient_upper,Pr(coef >= 0),Pr(coef < 0)
S1213,Regular,0.3135105,-0.9794712999999999,1.9217704999999996,0.65,0.35
RedundantThrowsDeclarationCheck,Regular,-0.1341655,-1.4945625,1.3397274999999997,0.41,0.5900000000000001
S00117,Regular,2.29803,0.46811555,4.184672,1.0,0.0
S00122,Regular,7.00046,6.486261,7.264067,1.0,0.0
S1488,Regular,-0.09445955,-1.767849,1.296148,0.48,0.52
S1905,Regular,0.0987954,-1.5557735000000001,1.9085885,0.54,0.45999999999999996
UselessImportCheck,Regular,-0.6580064999999999,-2.50472,1.721167,0.36,0.64
DuplicatedBlocks,Regular,7.756765,5.105289,10.6482,1.0,0.0
S1226,Regular,0.154298,-1.90346,1.7413545,0.6,0.4
S00112,Regular,0.5890795,-1.2246635000000001,2.0070615,0.68,0.31999999999999995
S1155,Regular,0.1491075,-1.414628,1.6459095,0.54,0.45999999999999996
S00108,Regular,-0.139417,-1.767428,1.5045015,0.43,0.5700000000000001
S1151,Regular,-0.048234189999999996,-1.817825,1.835222,0.49,0.51
S1132,Regular,0.356337,-1.2906175,2.0562775,0.61,0.39
S1481,Regular,1.34096,-0.1449596,3.1331469999999997,0.93,0.06999999999999995
