regressor,regressor_sign,coefficient,coefficient_lower,coefficient_upper,Pr(coef >= 0),Pr(coef < 0)
S1213,Regular,-0.0361935,-2.0257804999999998,1.7138864999999994,0.48,0.52
RedundantThrowsDeclarationCheck,Regular,0.1775735,-1.3089650000000002,1.5342639999999999,0.62,0.38
S00117,Regular,-0.10985795,-1.5850705,1.4649084999999993,0.48,0.52
S00122,Regular,0.0592289,-1.5853074999999999,1.8558575,0.52,0.48
S1488,Regular,0.05054555,-1.7690225,1.9549895,0.51,0.49
S1905,Regular,0.06620175,-1.882539,1.566520499999999,0.54,0.45999999999999996
UselessImportCheck,Regular,0.24904700000000002,-1.379026,1.6176605,0.6,0.4
DuplicatedBlocks,Regular,0.04761195,-1.106194,1.564004,0.51,0.49
S1226,Regular,-0.00646089,-2.070699,1.8639199999999998,0.49,0.51
S00112,Regular,0.2458225,-1.8605174999999998,2.0394764999999997,0.56,0.43999999999999995
S1155,Regular,-0.02122035,-1.492262,1.637319,0.49,0.51
S00108,Regular,-0.03488355,-1.3542465000000001,1.1528215,0.48,0.52
S1151,Regular,0.06510085,-1.656818,1.5028019999999997,0.54,0.45999999999999996
S1132,Regular,-0.029377435,-1.3190065,1.5003235000000001,0.5,0.5
S1481,Regular,0.117786,-2.022567,2.3221939999999996,0.55,0.44999999999999996
