regressor,regressor_sign,coefficient
S1213,Regular,0.323646
RedundantThrowsDeclarationCheck,Regular,-0.0763283
S00117,Regular,2.34635
S00122,Regular,7.0054
S1488,Regular,0.0525459
S1905,Regular,-0.000817345
UselessImportCheck,Regular,-0.313803
DuplicatedBlocks,Regular,10.2641
S1226,Regular,0.137983
S00112,Regular,0.529599
S1155,Regular,0.0448487
S00108,Regular,-0.149961
S1151,Regular,0.0375172
S1132,Regular,0.347329
S1481,Regular,1.5075
