Project,Model,MAE,MAPE,RMSE,MSE
digester,DGLM,287.18,1.05,177.43,31482.48
commons-fileupload,DGLM,50.3,0.98,30.34,920.25
commons-jelly,DGLM,464.38,1.1,537.66,289073.06
hive,DGLM,97363.74,25.89,56085.63,3145598228.11
bcel,DGLM,467.94,0.84,132.02,17428.89
zookeeper,DGLM,527.05,0.87,497.22,247227.27
felix,DGLM,29170.67,19.22,4565.53,20844021.34
net,DGLM,808.03,2.93,311.6,97091.73
ognl,DGLM,292.15,1.09,290.61,84452.16
santuario,DGLM,6489.02,6.04,1743.74,3040627.12
daemon,DGLM,25.0,0.64,9.02,81.31
thrift,DGLM,68210.54,195.54,85177.66,7255234323.02
validator,DGLM,263.11,1.77,152.67,23306.85
codec,DGLM,449.0,3.08,45.54,2073.65
vfs,DGLM,530.38,2.14,276.95,76700.23
