Project,Model,MAE,MAPE,RMSE,MSE
commons-fileupload,DGLM,375.32,8.77,623.13,388296.48
dbutils,DGLM,477.85,8.04,126.89,16101.81
cocoon,DGLM,36749.9,39.17,2818.76,7945386.17
hive,DGLM,29365.52,4.9,5299.81,28087980.0
daemon,DGLM,132.74,3.35,243.63,59357.53
configuration,DGLM,1273.66,3.62,272.24,74116.53
archiva,DGLM,5068.38,6.86,2460.39,6053496.13
codec,DGLM,630.92,4.7,652.6,425891.21
vfs,DGLM,1413.07,6.1,337.15,113672.69
