RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S00117_Actual,S00117_Simulated,S1226_Actual,S1226_Simulated,S1155_Actual,S1155_Simulated,S1132_Actual,S1132_Simulated
0.0,0.48069730238805325,0.0,0.3330249998781985,0.0,0.4384588908821911,0.0,0.366611078015905,0.0,0.22552910144113708
0.0,1.5917693969479603,0.0,1.2080652095107445,0.0,0.263871736852069,0.0,1.4354130559030849,0.0,0.8883563718345999
0.0,0.2537674896613763,0.0,0.0,0.0,0.0,0.0,0.2522985477992881,0.0,0.5414327394582437
0.0,0.0,0.0,0.6946079843113471,0.0,0.4486461609523493,0.0,0.6918472018286705,0.0,0.6638490377285022
0.0,1.0489455407479358,0.0,2.0978062546304415,0.0,1.7804769134687268,0.0,0.8500361108627084,0.0,0.23456695957129992
0.0,0.0,0.0,0.0,0.0,1.5721939143616708,0.0,0.18197017986924793,0.0,0.37321767731614436
0.0,0.0,0.0,0.1206935579780277,0.0,0.0,0.0,0.22095803241038273,0.0,0.0
0.0,1.3565922494502338,0.0,0.6983380669804238,0.0,0.5348550230362596,0.0,0.1495205466816073,0.0,0.3354972375384381
0.0,1.722515443814407,0.0,0.38061497192731353,0.0,1.717076538258837,0.0,1.5437936822132383,0.0,0.4005169175220876
0.0,1.6901497151636087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18332246153701653
0.0,1.5519881604277737,0.0,0.0,0.0,0.0,0.0,1.1375928782846647,0.0,0.013838466224577323
0.0,0.0,0.0,0.4355546308960738,0.0,0.5001709008278759,0.0,0.18910013851313925,0.0,0.0
