,Actual_last_5_vals,Mean_Simulation,Simulated_47,Simulated_12,Simulated_33,Simulated_32,Simulated_23,Simulated_13,Simulated_39,Simulated_7,Simulated_38,Simulated_31,Simulated_1,Simulated_5,Simulated_43,Simulated_41,Simulated_42,Simulated_8,Simulated_25,Simulated_27,Simulated_30,Simulated_40,Simulated_34,Simulated_26,Simulated_15,Simulated_46,Simulated_16,Simulated_14,Simulated_29,Simulated_28,Simulated_2,Simulated_9,Simulated_36,Simulated_17,Simulated_22,Simulated_10,Simulated_3,Simulated_18,Simulated_20,Simulated_44,Simulated_4,Simulated_24,Simulated_48,Simulated_37,Simulated_11,Simulated_35,Simulated_6,Simulated_45,Simulated_49,Simulated_21,Simulated_19,Simulated_0
0,5497.177777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5507.133333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5517.0888888888885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5527.044444444445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5537.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,4259.79,4259.79,4259.79,4259.79,4259.79,4259.79,4259.79,4259.79,4259.79,4259.79,4259.79,4259.79,4259.79,4259.79,4259.79,4259.79,4259.79,4259.79,4259.79,4259.79,4259.79,4259.79,4259.79,4259.79,4259.79,4259.79,4259.79,4259.79,4259.79,4259.79,4259.79,4259.79,4259.79,4259.79,4259.79,4259.79,4259.79,4259.79,4259.79,4259.79,4259.79,4259.79,4259.79,4259.79,4259.79,4259.79,4259.79,4259.79,4259.79,4259.79,4259.79
6,,4168.17,4140.01,4331.63,4926.33,4136.41,4722.59,3971.46,3017.37,5248.5,3692.7,4106.28,3402.12,4398.84,4059.71,2901.42,4125.44,5564.62,4405.38,5200.79,4431.7,3385.72,5244.78,3141.59,3641.6,3278.88,4559.24,4045.75,3507.66,3694.85,3701.52,4434.91,3473.93,4041.61,3331.12,3926.5,3518.61,4854.83,3517.98,4363.34,6302.55,4147.21,4229.39,3954.13,3126.03,4624.27,4743.14,4707.44,3981.59,4937.84,6299.49,2907.73
7,,4189.88,4139.94,4575.2,4090.75,5009.77,2691.26,4241.07,4474.74,4156.88,4690.09,4851.31,3693.17,4512.99,4261.16,3771.18,3047.81,3961.75,4992.12,4138.09,4230.65,4015.98,3568.15,3488.29,4558.12,4589.27,3788.78,3718.19,3389.09,3656.06,4485.76,4730.35,5134.05,4842.6,4669.17,4357.94,4628.11,4470.4,3438.06,4143.36,3449.75,5884.18,5834.92,3395.47,2714.01,4735.17,2895.24,5326.35,4124.66,4884.72,3222.32,3825.6
8,,4008.08,3705.12,3991.31,3696.38,3819.23,4108.25,3387.54,4287.52,4260.15,4514.7,3943.45,3097.83,3210.97,3407.52,3452.37,4343.05,5343.85,6190.63,4925.95,4142.28,3757.92,3096.87,4510.94,4256.29,4017.44,3537.27,4474.05,3532.71,4390.47,3933.45,5262.34,3594.39,3864.22,3474.45,3731.86,3316.55,4897.74,5119.0,4729.27,3491.5,4369.83,3764.23,4198.23,3117.86,3556.59,3318.75,2607.9,6175.01,2804.67,3460.12,4214.21
9,,4274.51,3896.09,4095.63,3732.18,3944.63,3837.7,3025.93,4829.69,4108.04,3830.75,3841.61,4502.64,4127.09,4683.71,4235.06,3349.39,4596.3,4006.75,4215.16,4131.74,5716.1,3942.53,3312.16,2906.37,5206.9,3559.63,4964.53,3890.15,3806.79,4698.71,4435.36,4271.55,4551.23,5198.37,5435.16,4675.37,5300.5,4791.96,4086.15,3292.78,5039.44,3658.4,4112.41,4638.06,4962.71,4553.71,4579.35,4805.59,3980.28,3518.9,4844.32
10,,4251.51,4765.73,2988.35,4059.11,3959.31,4914.93,4266.99,4156.13,3821.26,4847.34,4089.31,5082.78,3648.51,6018.36,4105.29,4875.77,5379.94,4562.0,3421.48,3264.12,4456.13,4691.43,4671.84,4225.45,4336.01,2918.15,5808.14,4239.48,4094.86,4928.27,4286.71,4321.25,5099.05,4583.5,5104.26,3373.26,4071.98,3615.94,3672.0,4342.9,4069.4,3616.18,3062.18,2864.99,3380.45,3831.58,5393.42,3758.59,3858.41,4020.49,5652.73
11,,4181.5,3630.03,4448.44,4518.45,4795.55,4616.21,3226.83,3611.66,5359.52,3787.56,5089.54,4386.39,2966.65,3417.35,3692.98,4323.19,4941.1,3068.64,3751.86,3457.21,4532.44,4190.65,4538.55,5493.1,4857.7,5121.44,3644.88,5135.96,3794.96,2596.28,3385.95,5112.36,4940.1,3296.92,4722.63,4870.72,3845.41,3333.84,3382.88,4764.68,4829.28,3459.79,3113.38,3729.77,4059.52,4248.76,4578.13,5283.78,3985.28,3944.92,5191.63
12,,4467.11,4604.88,3935.64,4497.53,4412.46,4913.99,4284.46,4658.5,4466.8,3933.3,4557.2,4611.9,3767.69,4477.1,3793.73,4037.32,4244.75,4522.5,4602.81,5212.64,3598.89,4834.7,3532.82,5351.46,4536.71,4311.34,3811.94,4271.32,5768.0,4241.05,3534.24,4550.39,3324.01,3528.39,4627.45,5319.23,4189.23,4240.73,6045.5,4776.83,3184.26,6018.37,4185.48,4549.59,4887.47,5451.33,3088.96,4816.1,4810.87,4031.61,6402.06
13,,4197.7,5245.74,4552.04,4438.53,4932.61,4675.36,4070.06,4111.81,2945.1,4005.41,3918.43,3482.74,3931.53,3480.35,3811.13,3665.22,4286.34,3551.93,5590.22,4577.21,4267.84,4918.87,3980.56,3919.62,5222.47,3215.38,5623.71,5000.38,3422.45,3445.18,4002.87,5022.79,3863.76,3887.07,4834.37,4103.32,5203.97,5270.28,3869.69,5050.79,3918.14,4995.5,3483.22,3868.64,4281.12,5370.81,4797.76,2559.68,2614.12,3136.24,3462.7
14,,4794.75,4991.96,5067.43,4452.46,5106.39,4703.16,4594.16,4701.89,5502.88,5787.23,3892.57,4662.13,5760.77,5112.3,4206.17,4423.25,4916.0,3463.38,3645.67,5106.41,5104.98,5015.6,5070.39,4718.32,4316.47,5046.97,3952.22,4790.7,5193.73,4594.42,3979.07,4922.47,5371.73,3457.34,5470.03,5904.61,4953.5,5249.29,6310.85,4000.76,5407.14,3951.39,5931.96,4584.27,4076.05,5974.86,3787.76,4407.3,4359.96,3627.22,6110.17
15,,4564.49,4803.69,4502.7,5566.87,5397.96,5604.59,4184.83,4700.98,5097.36,3931.11,5913.54,3992.27,5261.76,4710.92,4107.58,5185.27,4961.8,4494.24,4908.49,4414.71,4286.84,4059.4,5229.08,5571.81,4383.11,4068.03,3861.77,3796.97,3762.81,4618.05,4044.76,5066.44,3762.04,3423.46,4197.58,3636.51,5073.17,4445.51,4984.22,3260.44,4287.08,4235.46,5292.94,4913.29,4151.82,4887.12,4814.7,5743.81,2935.98,6227.86,3461.58
16,,4675.35,4274.72,4948.27,3686.7,4641.11,4494.66,4097.04,5085.93,6239.23,5843.73,6023.2,4590.91,5352.65,4922.46,3469.07,3723.87,5753.04,4933.29,4437.73,3771.46,5010.28,4354.63,5091.46,4784.93,5078.48,4700.85,4739.57,4799.75,4023.36,4698.62,3718.95,4794.11,4853.73,4013.25,3950.77,3464.64,4974.96,4218.82,4563.48,4323.51,6440.1,4215.92,5189.44,5334.53,5594.87,6284.59,5294.52,4759.13,3333.91,3860.63,3012.7
17,,4489.67,4468.5,4603.35,5064.57,5972.62,4459.67,3509.61,3720.7,4857.2,4613.97,4882.82,4956.37,5277.65,4400.58,4313.09,4936.6,4790.08,4728.8,4437.96,3162.12,3033.36,2609.35,5094.78,4905.8,5150.27,5262.66,3550.99,5753.05,3621.22,2663.83,3299.46,5664.29,3759.81,3976.11,4387.03,5483.65,4730.55,3847.05,3346.68,5816.86,5478.6,4509.41,4299.18,4053.18,5538.57,3742.61,5976.53,5544.51,3740.05,4214.99,4272.67
