S00117_Actual,S00117_Simulated,S00108_Actual,S00108_Simulated
2.0794415416798357,2.636680193993027,1.3862943611198906,1.0166596193930002
2.0794415416798357,2.6219029267142715,1.3862943611198906,1.0777167946223414
2.0794415416798357,3.7466794218122184,1.3862943611198906,1.2237013844779632
2.0794415416798357,0.0,1.3862943611198906,1.3724426207035083
2.0794415416798357,1.5046379072002258,1.3862943611198906,0.011307159816269285
2.0794415416798357,1.310109038488871,1.3862943611198906,0.40957040133205225
2.0794415416798357,0.0,1.3862943611198906,1.026659018522881
2.0794415416798357,4.238044812172535,1.3862943611198906,0.0
2.1972245773362196,2.3369487607855435,1.3862943611198906,0.9768481109446135
2.1972245773362196,3.4879429634327597,1.3862943611198906,0.0
2.1972245773362196,1.5646243760531642,1.3862943611198906,1.6526790777530231
2.1972245773362196,3.0793687795927496,1.3862943611198906,0.4699595844692701
