RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S1488_Actual,S1488_Simulated,S1905_Actual,S1905_Simulated,UselessImportCheck_Actual,UselessImportCheck_Simulated,S00108_Actual,S00108_Simulated
4.454347296253507,5.103045554277688,3.044522437723423,3.6392436171574167,2.70805020110221,3.3928598908698673,4.31748811353631,4.451906016607533,1.3862943611198906,1.6701743144112084
4.454347296253507,4.88163548939099,3.044522437723423,2.751894949957391,2.70805020110221,2.951422351722128,4.31748811353631,4.716879246122598,1.3862943611198906,2.007447372910368
4.454347296253507,6.81285599016625,3.044522437723423,2.554174576003075,2.70805020110221,3.533574009097885,4.31748811353631,4.364342598344079,1.3862943611198906,1.7067155321199108
4.454347296253507,5.983158581749207,3.044522437723423,3.5657539361631043,2.70805020110221,3.3742973372576253,4.31748811353631,4.769442164960932,1.3862943611198906,1.4829199238792445
4.454347296253507,4.778811968738711,3.044522437723423,3.813305988517162,2.70805020110221,4.557443490857045,4.31748811353631,4.257304966193171,1.3862943611198906,1.9853612694617444
4.454347296253507,5.189453684124429,3.044522437723423,4.328142863343423,2.70805020110221,3.3963890123476035,4.330733340286331,4.620553665405383,1.3862943611198906,2.0726369081522753
4.454347296253507,5.267349524342728,3.091042453358316,4.614041421338979,2.70805020110221,2.598014991416889,4.430816798843313,4.707168356362374,1.3862943611198906,1.4864553486805352
4.51085950651685,4.670125568234741,3.091042453358316,4.562487691058277,2.70805020110221,2.632494545484628,4.718498871295094,4.219157163989707,1.3862943611198906,1.5388818445701276
4.663439094112067,5.5135887797681296,3.1780538303479458,4.086577936060716,2.70805020110221,4.845407653731318,4.624972813284271,4.484192001332571,1.3862943611198906,2.048825911854305
4.66814498514948,5.056555610818194,3.1780538303479458,3.960441365360032,2.70805020110221,3.8621663745438903,4.68213122712422,4.130175128578527,1.3862943611198906,1.211386502294741
4.672828834461906,6.937038188114929,3.1780538303479458,4.280866947138605,2.70805020110221,2.600573754397062,4.736198448394496,4.218962204743468,1.3862943611198906,0.9646561578625409
4.672828834461906,6.764025212126885,3.1780538303479458,3.45699173022897,2.70805020110221,2.5658583837769946,4.74493212836325,4.169873658131462,1.3862943611198906,2.101501026227567
4.663439094112067,5.553925538134045,3.1780538303479458,3.160275850795426,2.70805020110221,1.9450260511607507,4.736198448394496,4.7332737969070955,1.3862943611198906,1.604648560211226
4.68213122712422,5.699512266723174,3.258096538021482,3.2370151880069042,2.70805020110221,3.0885985658233563,4.564348191467836,4.311475345566423,1.3862943611198906,1.193632949126739
4.948759890378168,5.98114898256716,3.258096538021482,3.665152855294439,2.70805020110221,2.38521691494868,3.784189633918261,4.65177036083856,1.3862943611198906,1.8639011916338477
4.955827057601261,5.673632487188962,3.258096538021482,4.556486674539029,2.70805020110221,1.977509437100462,4.02535169073515,4.338489461560961,1.3862943611198906,1.934779239087514
4.955827057601261,5.032300183284669,3.258096538021482,3.9461577676611594,2.70805020110221,3.1288942059671516,4.060443010546419,4.281899140683687,1.3862943611198906,2.1648131798260097
4.969813299576001,5.361035274495773,3.258096538021482,2.9915449375921255,2.70805020110221,2.188925561492616,4.143134726391533,4.33219759606007,1.3862943611198906,1.4133727079999832
4.969813299576001,6.366943643460143,3.258096538021482,3.46358823701549,2.70805020110221,4.689390657706408,4.127134385045092,4.573362875375303,1.3862943611198906,1.5644545307470805
4.962844630259907,3.522646525640058,3.2188758248682006,3.1579228921953635,2.5649493574615367,4.356535179252429,4.23410650459726,4.226121848155961,1.3862943611198906,2.299587757648652
4.962844630259907,5.5884016250445425,3.5553480614894135,3.379859515918737,2.5649493574615367,4.526336676693122,4.23410650459726,4.116874855692319,1.3862943611198906,1.0674767119704585
4.962844630259907,5.081751602078287,3.5553480614894135,3.7651400307451564,2.5649493574615367,3.3013235150241713,4.23410650459726,4.109254191351961,1.3862943611198906,1.9744515431242806
4.962844630259907,5.498280575580292,3.5553480614894135,4.663819061766085,2.5649493574615367,2.6041410795748194,4.2626798770413155,4.321598966613325,1.3862943611198906,1.8066873295869768
4.962844630259907,4.943458078305286,3.5553480614894135,4.378258202549595,2.5649493574615367,4.726573529059835,4.248495242049359,4.541225891467244,1.3862943611198906,2.0026580124287565
