Project,Model,Estimator,MAE,MAPE,RMSE,MSE
digester,ETS,stan-mcmc,819.28,3.11,907.53,823604.71
collections,ETS,stan-mcmc,4350.68,8.09,5190.27,26938873.6
commons-fileupload,ETS,stan-mcmc,267.37,4.76,320.97,103022.92
jxpath,ETS,stan-mcmc,968.8,3.26,1249.47,1561169.22
commons-jelly,ETS,stan-mcmc,191.87,0.45,234.52,54999.52
dbutils,ETS,stan-mcmc,36.51,0.54,41.69,1738.11
cocoon,ETS,stan-mcmc,41249.18,14.83,48421.23,2344615989.69
cayenne,ETS,stan-mcmc,10809.77,4.89,10931.9,119506473.5
hive,ETS,stan-mcmc,98049.6,15.65,112197.54,12588288937.27
bcel,ETS,stan-mcmc,1376.88,2.5,1762.35,3105880.92
zookeeper,ETS,stan-mcmc,1742.59,2.76,1907.34,3637939.64
felix,ETS,stan-mcmc,30818.8,12.46,36330.26,1319887628.46
beanutils,ETS,stan-mcmc,810.99,1.42,1093.39,1195492.12
commons-cli,ETS,stan-mcmc,988.17,12.58,1089.51,1187040.18
commons-exec,ETS,stan-mcmc,204.92,3.81,250.81,62907.58
net,ETS,stan-mcmc,652.16,2.18,884.51,782362.09
batik,ETS,stan-mcmc,32878.91,30.14,45688.67,2087454812.0
ognl,ETS,stan-mcmc,250.56,0.92,320.38,102643.54
santuario,ETS,stan-mcmc,4363.18,3.58,5705.52,32552938.21
daemon,ETS,stan-mcmc,41.36,1.03,47.99,2303.51
commons-jexl,ETS,stan-mcmc,2470.71,15.82,2942.51,8658350.75
httpcore,ETS,stan-mcmc,3162.79,4.16,4522.83,20456002.98
thrift,ETS,stan-mcmc,635.04,3.05,774.94,600528.4
configuration,ETS,stan-mcmc,1858.02,4.29,2688.17,7226241.39
commons-io,ETS,stan-mcmc,5524.61,15.07,7202.23,51872188.64
httpclient,ETS,stan-mcmc,17730.14,28.27,19358.19,374739441.98
archiva,ETS,stan-mcmc,17196.54,17.36,24025.54,577226467.47
validator,ETS,stan-mcmc,1142.83,6.93,1335.16,1782665.57
dbcp,ETS,stan-mcmc,519.52,3.69,731.14,534561.98
codec,ETS,stan-mcmc,1195.69,7.06,1431.44,2049007.06
vfs,ETS,stan-mcmc,738.85,2.69,1176.5,1384153.34
