RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S00122_Actual,S00122_Simulated,S1905_Actual,S1905_Simulated,UselessImportCheck_Actual,UselessImportCheck_Simulated,S1226_Actual,S1226_Simulated,S1155_Actual,S1155_Simulated,S1151_Actual,S1151_Simulated,S1132_Actual,S1132_Simulated,S1481_Actual,S1481_Simulated
0.0,0.13061218153693147,0.0,0.19903756679548096,0.0,0.0627247989161265,0.45515595477864185,2.067760709232467,0.0,0.11086315715662766,0.0,0.05140755755911177,0.04691691978775157,0.6143608525794846,0.0,0.5357143502130369,0.04691691978775157,0.794859720905366
0.0,0.695354789283036,0.0,0.09880653086425206,0.0,0.51338222503467,0.4213499186481877,2.2681473287360547,0.0,0.0,0.0,0.0,0.04274154837727106,0.6151522334578418,0.0,0.785583200209077,0.04274154837727106,1.073149114357539
0.0,0.0,0.0,0.0,0.0,0.11504471944036071,0.3863609267981219,2.00692349862978,0.0,0.3073274674428511,0.0,0.0,0.038548670117235125,0.6919239210531963,0.0,1.2545235821028318,0.038548670117235125,0.720685378398604
0.0,0.42311355178748167,0.0,0.7419338741658326,0.0,0.0,0.3501031787754985,2.7662982000722605,0.0,0.0,0.0,0.029608034413407085,0.03433813758089155,0.6162977170926058,0.0,0.0,0.03433813758089155,0.8562840980764731
0.0,0.0,0.0,0.6852242161701049,0.0,0.0,0.3124811869859139,0.7496183936060827,0.0,0.32484780191204254,0.0,0.0,0.03010980147137047,1.3322109548815666,0.0,0.0,0.03010980147137047,1.5946183364518338
0.0,0.1943981635366474,0.0,0.3246117768131964,0.0,0.38583496357738045,0.27338826119463594,1.6063310687931192,0.0,0.27915841280892895,0.0,0.2661081999001652,0.025863510589919297,0.8470963934725055,0.0,0.0,0.025863510589919297,0.0
0.0,0.4587313355476751,0.0,0.4307783956971384,0.0,0.0,0.23270468455819335,0.6791049295131837,0.0,0.17429832077247298,0.0,0.2971646468614222,0.021599111803461798,1.055003624689009,0.0,0.9843163845953455,0.021599111803461798,0.43365807990731187
0.0,0.17691641948462516,0.0,1.527288151789207,0.0,0.18374733708639607,0.19029550263309924,2.3991582394106925,0.0,0.0,0.0,0.017675146184400893,0.017316450011460875,0.7034638384218759,0.0,2.218685169747895,0.017316450011460875,0.8046088012109532
0.0,0.13272009718089905,0.0,0.0,0.0,0.47899783661055384,0.1460078224319825,0.767098693396876,0.0,0.4752572253844648,0.0,0.06767437448794901,0.0130153681120703,0.9432484765123865,0.0,0.5050232339563763,0.0130153681120703,1.316784983739328
0.0,0.21585161954993262,0.0,0.34904544132331083,0.0,0.0,0.09966748517328153,2.569762408699286,0.0,0.1774367971169193,0.0,0.0,0.008695706967553821,0.8910208223232323,0.0,0.4110402746911881,0.008695706967553821,0.8749726407898216
0.0,0.24394921390084393,0.0,0.5782845444334019,0.0,0.2832987553425626,0.05107492993641579,2.6257666832142466,0.0,0.0,0.0,0.0,0.00435730536895569,0.798399898256983,0.0,1.7553012248905793,0.00435730536895569,0.5775050886475366
0.0,0.16955699332397323,0.0,0.05869513559772252,0.0,0.832230137396474,0.0,0.35020174655777025,0.0,0.4171781887710716,0.0,0.0,0.0,0.4749800775803542,0.0,0.7558213201592903,0.0,0.10333254717487905
