S1213_Actual,S1213_Simulated,S00122_Actual,S00122_Simulated,S1488_Actual,S1488_Simulated,DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated,S1226_Actual,S1226_Simulated,S00112_Actual,S00112_Simulated,S1155_Actual,S1155_Simulated,S00108_Actual,S00108_Simulated,S1151_Actual,S1151_Simulated,S1132_Actual,S1132_Simulated
0.1869835698997661,0.7399706292237076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09785579000375867,0.4008023151512786,0.0,0.0,0.0,0.0,0.09785579000375867,0.4491699626036771,0.0,0.06698009956454791
0.17135825199668528,0.7937300665775918,0.0,0.0,0.0,0.0,0.0,1.4720226503582113e-06,0.0,0.0,0.08934510033585,0.0,0.0,0.0,0.0,3.175597660357686e-07,0.08934510033585,0.5788875287034265,0.0,0.32683880747725763
0.15548490284039515,1.2802433780544846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08076135664445859,0.47125283343074076,0.0,0.0,0.0,0.0,0.08076135664445859,0.33155992611959206,0.0,0.0
0.13935552091051145,1.0690132737244813,0.0,0.0,0.0,0.0,0.0,1.2164515985820777e-06,0.0,0.0,0.07210329390134397,0.06981434053811714,0.0,0.0,0.0,0.0,0.07210329390134397,0.3232792835611248,0.0,0.24261360016748068
0.1229617111348351,0.8144154927357663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06336961393258933,0.3604625513987206,0.0,0.0,0.0,0.0,0.06336961393258933,0.5899162587424149,0.0,0.0
0.10629465864962341,1.5515816190238911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0545589842504345,0.0,0.0,0.0,0.0,0.0,0.0545589842504345,0.5348906576738793,0.0,0.0
0.08934510033585008,1.0988963509752752,0.0,0.0,0.0,4.0212658447899947e-07,0.0,4.0009219166951764e-07,0.0,4.193680737674974e-06,0.04567003683318844,0.2201799072707318,0.0,0.0,0.0,0.0,0.04567003683318844,0.6621826785370134,0.0,0.22425625796942594
0.07210329390134407,1.3381695362027137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036701366850428,0.5456328293404447,0.0,0.0,0.0,0.0,0.036701366850428,0.5880945405857506,0.0,0.022104869732932707
0.0545589842504346,0.4432456713625024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027651531330510157,0.10307361606804422,0.0,0.0,0.0,0.0,0.027651531330510157,0.2502091951267029,0.0,0.0
0.0367013668504281,0.6714500700173961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018519047767237597,0.5534959664750032,0.0,0.0,0.0,0.0,0.018519047767237597,0.010182482015427263,0.0,0.034972360588118964
0.018519047767237697,0.6948320248237952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009302392662313554,0.4009528104771283,0.0,0.0,0.0,0.0,0.009302392662313554,0.8495596387289615,0.0,0.3288391421889314
0.0,0.4902763282162796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5009384180076254,0.0,0.0,0.0,0.0,0.0,0.6318947648464543,0.0,0.031265971001394985
