RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S00122_Actual,S00122_Simulated,S1905_Actual,S1905_Simulated,UselessImportCheck_Actual,UselessImportCheck_Simulated,DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated,S1226_Actual,S1226_Simulated,S1155_Actual,S1155_Simulated,S1151_Actual,S1151_Simulated,S1132_Actual,S1132_Simulated
0.0,0.13061218153693147,0.0,0.19903756679548096,0.0,0.0627247989161265,0.45515595477864185,2.067760709232467,0.0,0.4722537343060408,0.0,0.11086315715662766,0.0,0.05140755755911177,0.04691691978775157,0.6143608525794846,0.0,0.5357143502130369
0.0,0.0,0.0,0.36393941265720453,0.0,0.0,0.4213499186481877,1.9167536342740108,0.0,0.835187258482043,0.0,0.08261773940815482,0.0,0.48995042348288753,0.04274154837727106,0.27199135893504617,0.0,0.5504770417727256
0.0,0.0,0.0,0.2027665163523453,0.0,0.5206300732649367,0.3863609267981219,2.505082686213914,0.0,1.3007228309310532,0.0,0.0,0.0,0.08904634877521084,0.038548670117235125,0.0,0.0,0.42735994919088505
0.0,0.0,0.0,0.0,0.0,0.6220074954750784,0.3501031787754985,1.9358082089619195,0.0,0.0,0.0,0.0,0.0,0.07000773890455475,0.03433813758089155,0.4531882509022076,0.0,0.05570207006372885
0.0,0.04002666003579415,0.0,0.20476782038245026,0.0,0.0,0.3124811869859139,1.9267566330355044,0.0,1.0555582363448266,0.0,0.45450225015433365,0.0,0.0,0.03010980147137047,0.12454849783541849,0.0,0.37157949900989584
0.0,0.0,0.0,0.6616538604793155,0.0,0.0,0.27338826119463594,2.3651275037396826,0.0,0.42187661077981864,0.0,0.5821289166700384,0.0,0.0,0.025863510589919297,0.7906800888896606,0.0,0.7885896912331573
0.0,0.0,0.0,2.000884919716228,0.0,0.07675260902994081,0.23270468455819335,1.059707874486681,0.0,0.0,0.0,0.333197910647192,0.0,0.1967715108752426,0.021599111803461798,1.2280456566203677,0.0,0.0
0.0,0.7372821646311102,0.0,0.5117133620242214,0.0,0.0,0.19029550263309924,2.918117313492496,0.0,1.0385202235346418,0.0,0.3840609303041238,0.0,0.0,0.017316450011460875,0.5131900000366024,0.0,0.3336118819559877
0.0,0.5971326603034327,0.0,0.4287711313536118,0.0,0.0,0.1460078224319825,2.8559889629378,0.0,1.8305249066187925,0.0,0.0,0.0,0.012716943283495055,0.0130153681120703,0.37619482822688044,0.0,1.4030203036848117
0.0,0.3064159667002946,0.0,0.2195008285674887,0.0,0.1974270703096145,0.09966748517328153,0.31333551159115314,0.0,0.05557030052174633,0.0,0.20863123839277736,0.0,0.07133071996545094,0.008695706967553821,0.499971710904927,0.0,1.2153530381193407
0.0,0.6471390737519687,0.0,0.5959649359381453,0.0,0.0,0.05107492993641579,1.479605231620448,0.0,0.0,0.0,0.4373914939579218,0.0,0.0,0.00435730536895569,0.5029285971705001,0.0,0.9630469941515926
0.0,0.1416860769615615,0.0,0.0,0.0,0.23646548065537773,0.0,1.106654503923819,0.0,0.4945297788414265,0.0,0.0,0.0,0.0,0.0,0.7509585106096129,0.0,1.675913968348227
