S00108_Actual,S00108_Simulated
1.3862943611198906,1.0166596193930002
1.3862943611198906,1.7668409294920484
1.3862943611198906,0.0
1.3862943611198906,1.6836634333038831
1.3862943611198906,0.0
1.3862943611198906,1.1163151482918596
1.3862943611198906,1.5657559783874462
1.3862943611198906,2.529670752707726
1.3862943611198906,2.0074867990567515
1.3862943611198906,0.0
1.3862943611198906,0.5157208697943486
1.3862943611198906,1.2322140081218298
1.3862943611198906,0.9450907032670608
1.3862943611198906,0.6713255565906859
1.3862943611198906,0.0
1.3862943611198906,0.5541528057118394
1.3862943611198906,0.6621652296458143
1.3862943611198906,0.0035789316804055726
1.3862943611198906,2.368988448492983
1.3862943611198906,2.047292322420784
1.3862943611198906,0.40039346640036433
1.3862943611198906,0.0
1.3862943611198906,1.5508110733244815
1.3862943611198906,1.6121080628477649
