Project,Model,MAE,MAPE,RMSE,MSE
digester,DGLM,1810.39,7.4,2357.16,5556210.35
collections,DGLM,2579.05,5.43,1041.72,1085179.02
commons-fileupload,DGLM,44.03,0.86,11.37,129.35
commons-jelly,DGLM,471.1,1.12,622.66,387703.19
hive,DGLM,97337.11,25.86,56141.99,3151922686.04
bcel,DGLM,472.5,0.84,133.62,17853.36
zookeeper,DGLM,526.56,0.87,496.96,246969.77
felix,DGLM,29173.49,19.2,4436.91,19686194.05
net,DGLM,816.36,2.96,355.19,126162.23
santuario,DGLM,6468.64,6.02,1877.35,3524458.52
daemon,DGLM,26.07,0.66,6.24,38.94
thrift,DGLM,19264.06,490.56,26318.28,692651697.18
validator,DGLM,225.27,1.52,69.53,4834.07
vfs,DGLM,690.82,2.79,665.7,443158.2
