Index,Lower,Upper
29,22751.79,320017.36
30,11330.85,308118.81
31,837.89,314445.41
32,1862.84,305173.62
33,-11212.88,303502.74
34,-10471.48,291954.44
35,-19080.97,289352.41
36,-10153.03,281634.47
