Index,Lower,Upper
48,117674.98336937839,294402.6960189691
49,116203.06724753889,299488.61811490013
50,120858.35829767394,304220.5146040026
51,122926.69693971745,313040.3126969261
52,123873.71460805909,332658.88815574185
53,117420.45192163128,354499.41641992953
54,115533.40495190932,375964.28859310027
55,114098.80596151468,394578.63118886435
56,118789.98494961999,412164.74688633875
57,118337.39202973242,429852.34816907224
58,112444.4200397982,474458.9848879727
59,115970.734303911,490452.90552000445
