Project,Model,Trend,Estimator,MAE,MAPE,RMSE,MSE
digester,DLT,logistic,stan-mcmc,382.0,1.46,494.32,244353.32
collections,DLT,linear,stan-mcmc,3091.45,5.78,3574.26,12775355.13
commons-fileupload,DLT,linear,stan-mcmc,247.05,4.39,307.47,94535.5
jxpath,DLT,loglinear,stan-map,967.23,3.25,1247.33,1555830.23
commons-jelly,DLT,linear,stan-mcmc,15.07,0.04,19.28,371.6
dbutils,DLT,logistic,stan-map,68.28,1.02,78.31,6132.44
cocoon,DLT,linear,stan-map,11870.48,4.54,14789.21,218720649.81
cayenne,DLT,logistic,stan-map,10084.55,4.56,10189.39,103823764.57
hive,DLT,linear,stan-map,53905.47,8.52,65018.79,4227443006.73
bcel,DLT,linear,stan-mcmc,1298.18,2.35,1642.87,2699036.97
zookeeper,DLT,linear,stan-map,981.95,1.56,1219.9,1488147.06
felix,DLT,linear,stan-map,11043.74,4.29,17451.14,304542281.67
beanutils,DLT,loglinear,stan-mcmc,312.23,0.55,365.7,133737.5
commons-cli,DLT,loglinear,stan-map,261.09,3.41,304.46,92697.36
commons-exec,DLT,linear,stan-map,173.59,3.23,215.93,46625.12
net,DLT,linear,stan-map,315.83,1.09,383.64,147182.35
batik,DLT,logistic,stan-map,36341.19,32.96,49108.99,2411693383.74
ognl,DLT,linear,stan-map,32.77,0.12,37.21,1384.25
santuario,DLT,linear,stan-mcmc,3738.02,3.07,4788.95,22934016.65
daemon,DLT,linear,stan-mcmc,26.86,0.67,31.69,1004.2
commons-jexl,DLT,loglinear,stan-map,2158.21,13.83,2562.44,6566091.89
httpcore,DLT,loglinear,stan-map,1670.9,2.22,2439.47,5951024.97
thrift,DLT,linear,stan-map,168.55,0.82,220.88,48785.77
configuration,DLT,linear,stan-mcmc,997.62,2.4,1084.18,1175439.2
commons-io,DLT,linear,stan-mcmc,3708.56,9.99,5095.08,25959870.4
httpclient,DLT,flat,stan-mcmc,18422.49,29.4,20191.47,407695324.09
archiva,DLT,linear,stan-map,9551.79,9.07,15774.84,248845675.54
validator,DLT,linear,stan-mcmc,500.15,3.0,673.45,453533.45
dbcp,DLT,loglinear,stan-mcmc,510.85,3.65,739.96,547545.71
codec,DLT,linear,stan-map,748.67,4.42,905.25,819470.62
vfs,DLT,linear,stan-mcmc,701.77,2.61,893.52,798379.53
