S1213_Actual,S1213_Simulated,S00122_Actual,S00122_Simulated,S1488_Actual,S1488_Simulated,S1226_Actual,S1226_Simulated,S00112_Actual,S00112_Simulated,S1155_Actual,S1155_Simulated,S00108_Actual,S00108_Simulated,S1151_Actual,S1151_Simulated,S1132_Actual,S1132_Simulated
0.1869835698997661,0.8654164806904682,0.0,0.19170098661429782,0.0,0.051733357324998425,0.0,0.11196008221551346,0.09785579000375867,0.46128570284664755,0.0,0.046991420998253174,0.0,0.19702941544705932,0.09785579000375867,0.6025512276968152,0.0,0.5169270278182613
0.17135825199668528,1.310256823332364,0.0,0.1971597368654753,0.0,0.2675338094667581,0.0,0.0,0.08934510033585,0.0,0.0,0.0,0.0,0.016590031479966738,0.08934510033585,0.5269236633775534,0.0,0.24551156049115253
0.15548490284039515,0.35823715644422927,0.0,0.0,0.0,0.0,0.0,0.0,0.08076135664445859,0.9094223692515826,0.0,0.0,0.0,0.9914484681727025,0.08076135664445859,0.12457453491368797,0.0,0.0
0.13935552091051145,1.3456770402863942,0.0,0.0,0.0,0.49386847859219973,0.0,0.23700307716490163,0.07210329390134397,0.39466167630511206,0.0,0.09440757376827943,0.0,0.0,0.07210329390134397,0.896811296255992,0.0,1.3171340605943544
0.1229617111348351,1.236668122371931,0.0,1.0505581305667202,0.0,0.0,0.0,0.19136718775757267,0.06336961393258933,0.0,0.0,0.06197391094409573,0.0,0.43779388906509276,0.06336961393258933,0.6450654344318296,0.0,0.5159131356545584
0.10629465864962341,0.7805426005530669,0.0,0.0,0.0,0.12601212018018304,0.0,0.11790162865267484,0.0545589842504345,1.4598701155247216,0.0,0.0,0.0,0.0,0.0545589842504345,1.5499528199495276,0.0,0.6275765247963698
0.08934510033585008,0.36116533385159,0.0,0.3912195403339893,0.0,0.14222350202966524,0.0,0.1845564868798284,0.04567003683318844,0.49090459393985375,0.0,0.08532525960435677,0.0,0.005223130655655439,0.04567003683318844,0.6308808211537604,0.0,0.0
0.07210329390134407,0.9878916454355754,0.0,0.0,0.0,0.14965623268739847,0.0,0.24176885924444158,0.036701366850428,0.6644248127549321,0.0,0.1614116170964861,0.0,0.0,0.036701366850428,0.9844358894812206,0.0,0.32184925096767103
0.0545589842504346,1.0404308912027735,0.0,0.43484918712785714,0.0,0.42133318448228874,0.0,0.0,0.027651531330510157,0.0,0.0,0.26301246190023375,0.0,1.1224115555191152,0.027651531330510157,0.7675328664500279,0.0,0.44114617663181355
0.0367013668504281,1.3694659622640697,0.0,1.2333923818451946,0.0,0.0,0.0,0.0,0.018519047767237597,0.0,0.0,0.0,0.0,0.09815659283816702,0.018519047767237597,1.3967291857136446,0.0,0.0
0.018519047767237697,0.5353622474418318,0.0,0.0,0.0,0.0,0.0,0.40135942781716644,0.009302392662313554,1.051704286765538,0.0,0.19860995569467976,0.0,0.0,0.009302392662313554,1.1977497916317543,0.0,0.0
0.0,0.10540842123557026,0.0,0.5307779958007283,0.0,0.6738695351587186,0.0,0.3304766902445952,0.0,0.8247840462034668,0.0,0.0,0.0,0.812932126161905,0.0,1.0535041310604332,0.0,1.1112992728620685
