RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S1488_Actual,S1488_Simulated,S1905_Actual,S1905_Simulated,DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated,S1226_Actual,S1226_Simulated,S00112_Actual,S00112_Simulated,S1151_Actual,S1151_Simulated
3.258096538021482,3.411590488688553,1.3862943611198906,1.5414280278559198,1.0986122886681098,0.08546578921313353,6.016157159698354,5.00170704510986,0.0,3.0021800730187986,7.00397413672268,6.007955147221165,3.5263605246161616,2.133853788746623
3.332204510175204,4.782280234006474,0.6931471805599453,0.3565054463616437,0.6931471805599453,0.0,5.720311776607412,3.6599512292891703,0.0,2.166294883791826,6.75110146893676,6.603781469894546,3.5553480614894135,2.2373300602080137
3.332204510175204,3.725898680119964,0.6931471805599453,1.7875322136714056,0.6931471805599453,0.3447256195895657,5.713732805509369,4.538391625772637,0.0,4.956346593203718,6.760414691083428,6.635795539141172,3.5553480614894135,3.458396951306442
3.332204510175204,3.655118480138622,0.6931471805599453,1.2643131875155298,0.6931471805599453,0.24525164494623533,5.717027701406222,4.216668781047413,0.0,5.853011846947577,6.716594773520978,7.767587294189451,3.6375861597263857,2.2292116876289083
3.332204510175204,4.840477012550705,0.6931471805599453,2.3896936301925686,0.6931471805599453,0.07141740306603506,5.71042701737487,4.869424532021637,0.0,4.462142672748239,6.7357800142423265,6.916433418957586,3.6375861597263857,2.380963097068313
3.332204510175204,3.1443478921704644,0.6931471805599453,1.8465605352865757,0.6931471805599453,0.0,5.697093486505405,5.39828722828749,0.0,3.5399042218280963,6.733401891837359,5.660633879843085,3.6375861597263857,2.2905399102920994
3.332204510175204,3.988935903839967,0.6931471805599453,1.3380732849778711,0.6931471805599453,0.08373897785591168,5.69035945432406,4.114164395829969,0.0,2.6266097258013077,6.7339969528486705,6.495127895345006,3.6375861597263857,1.9116563428533706
3.332204510175204,3.299886506732397,0.6931471805599453,2.1688999854111066,0.6931471805599453,0.1564781279831485,5.683579767338681,3.7367590229656025,0.0,2.5956676945342894,6.734591659972948,5.629743407073066,3.6375861597263857,2.111711477280352
3.332204510175204,4.015996772898242,0.6931471805599453,1.4799335697669425,0.6931471805599453,0.053359870751621234,5.700443573390687,5.508713252521503,0.0,0.5773057691694352,6.734591659972948,6.917098023023726,3.6375861597263857,2.029558815751445
3.332204510175204,2.9910496829368918,0.6931471805599453,0.7567005710470868,0.6931471805599453,0.008044281688559196,5.68697535633982,6.247965400396506,0.0,3.8209486136191684,6.739336627357174,6.7824830489279,3.6375861597263857,2.368385313788798
3.332204510175204,1.8044220079319326,0.6931471805599453,2.1085600367934716,0.6931471805599453,0.4234121655309796,5.697093486505405,3.6788608604834225,0.0,4.3052286922433565,6.75343791859778,5.4929760079266385,3.6375861597263857,0.4284232041761853
3.332204510175204,3.194194901860731,0.6931471805599453,1.324056527333621,0.6931471805599453,0.0961929142997889,5.6937321388027,4.151974691466697,0.0,3.3830526549257147,6.759255270663693,6.151559742480126,3.713572066704308,2.562063135574691
