S1213_Actual,S1213_Simulated,RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S1905_Actual,S1905_Simulated,DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated,S1226_Actual,S1226_Simulated,S00112_Actual,S00112_Simulated,S1151_Actual,S1151_Simulated
4.948759890378168,4.189295074572902,3.258096538021482,3.411590488688553,1.0986122886681098,0.08546578921313353,6.016157159698354,5.00170704510986,0.0,3.0021800730187986,7.00397413672268,6.007955147221165,3.5263605246161616,2.133853788746623
4.983606621708336,4.18366075413976,3.332204510175204,3.071105068479657,0.6931471805599453,0.31477030666334327,5.720311776607412,5.635340051106355,0.0,2.93026938862639,6.75110146893676,6.129459282283023,3.5553480614894135,1.7751723256955438
4.969813299576001,4.549431578269101,3.332204510175204,3.1083216402708707,0.6931471805599453,0.0,5.713732805509369,5.847592999499023,0.0,4.770099314136035,6.760414691083428,6.076317074533163,3.5553480614894135,1.5089011606443576
4.976733742420574,4.108796786702113,3.332204510175204,2.8434973696864705,0.6931471805599453,0.16083612324236177,5.717027701406222,5.440484574979194,0.0,2.5657337085599305,6.716594773520978,5.367171872164114,3.6375861597263857,1.1674337887858734
4.997212273764115,4.11932390675514,3.332204510175204,3.676262166193011,0.6931471805599453,0.0,5.71042701737487,4.997852601627172,0.0,3.4842054108118594,6.7357800142423265,5.084853615749411,3.6375861597263857,1.9170458563943338
5.003946305945459,4.934694706601925,3.332204510175204,3.378119660549273,0.6931471805599453,0.1495075911219943,5.697093486505405,4.837039859075001,0.0,1.8831360536381314,6.733401891837359,5.456730407526839,3.6375861597263857,2.538781940638094
5.003946305945459,4.021418254725734,3.332204510175204,2.852743412826946,0.6931471805599453,0.0,5.69035945432406,7.294748126799245,0.0,5.517358931204077,6.7339969528486705,5.152245503893188,3.6375861597263857,3.3333854932157196
5.003946305945459,3.8260217245300603,3.332204510175204,4.129152481667905,0.6931471805599453,0.2838315130651484,5.683579767338681,4.2717623771288595,0.0,3.020974679870785,6.734591659972948,6.5449664784543184,3.6375861597263857,0.6752801325102398
5.0106352940962555,4.895131264034335,3.332204510175204,3.0269467861437183,0.6931471805599453,0.18654322883408106,5.700443573390687,4.441420521164475,0.0,4.818096530580633,6.734591659972948,5.16719168755038,3.6375861597263857,2.1421689998519025
5.030437921392435,4.360535088799647,3.332204510175204,3.1940962576313447,0.6931471805599453,0.17031363903884583,5.68697535633982,4.884144671995814,0.0,8.803681022525206,6.739336627357174,5.649558988005765,3.6375861597263857,2.6693143555827046
5.030437921392435,4.730193593280305,3.332204510175204,2.5720662084321804,0.6931471805599453,0.02528105848512372,5.697093486505405,5.201172257854521,0.0,2.0159965770712462,6.75343791859778,5.498553491375685,3.6375861597263857,2.5701695513184606
5.087596335232384,4.035607195405691,3.332204510175204,4.028392716427806,0.6931471805599453,0.0,5.6937321388027,5.620315305921119,0.0,0.4629112350618847,6.759255270663693,6.889499990037477,3.713572066704308,2.916853127925216
