Project,Model,MAE,MAPE,RMSE,MSE
digester,DGLM,845.38,3.31,1266.51,1604042.08
collections,DGLM,2049.95,4.4,1890.17,3572745.18
commons-fileupload,DGLM,66.44,1.32,56.8,3226.15
jxpath,DGLM,22.35,0.08,31.59,997.74
commons-jelly,DGLM,66.14,0.16,45.95,2111.05
dbutils,DGLM,952.44,21.04,754.77,569683.88
cocoon,DGLM,46414.89,37.9,55833.59,3117389352.46
cayenne,DGLM,14104.13,7.07,14169.57,200776634.83
hive,DGLM,121994.04,45.02,116271.38,13519034438.8
bcel,DGLM,437.25,0.78,492.42,242480.62
zookeeper,DGLM,1392.55,2.33,1394.24,1943909.64
felix,DGLM,64825.85,60.89,64874.91,4208754547.03
beanutils,DGLM,2012.99,3.79,1440.28,2074395.28
commons-cli,DGLM,424.4,7.88,360.56,130006.66
commons-exec,DGLM,526.29,12.28,399.64,159711.99
net,DGLM,914.56,3.43,633.06,400764.64
batik,DGLM,25056.7,17.24,25316.64,640932424.09
ognl,DGLM,201.6,0.76,189.89,36060.04
santuario,DGLM,9255.13,9.57,7691.5,59159105.85
daemon,DGLM,53.49,1.39,54.19,2936.6
commons-jexl,DGLM,833.48,8.16,797.71,636347.87
httpcore,DGLM,5482.06,9.55,4420.29,19538927.45
thrift,DGLM,2443.81,14.73,2471.71,6109366.2
configuration,DGLM,2476.39,7.09,1993.88,3975576.3
commons-io,DGLM,1383.54,5.68,1525.97,2328570.5
httpclient,DGLM,6202.23,8.49,6336.07,40145823.99
archiva,DGLM,17481.49,20.25,16835.4,283430784.98
validator,DGLM,139.34,0.95,200.31,40125.58
dbcp,DGLM,1231.54,7.32,1279.31,1636630.61
codec,DGLM,704.74,5.17,647.3,419002.19
vfs,DGLM,856.25,3.59,825.41,681302.2
