Project,Model,Trend,MAE,MAPE,RMSE,MSE
digester,DLM,Linear,21727.559337787625,4493.942488051859,23797.43039592144,566317693.4487257
collections,DLM,Linear,8031.828143164289,19.81539252768947,9601.134866299291,92181790.7208679
commons-fileupload,DLM,Linear,616.8240603277835,9.420356403203101,753.3464355851249,567530.8520088127
jxpath,DLM,Linear,3417.465730150444,10.298973257094117,3901.944858863106,15225173.681608224
commons-jelly,DLM,Linear,1955.1806420346402,5.123584259015159,2107.266307512627,4440571.290777901
dbutils,DLM,Linear,464.6124844217466,7.184677113413182,576.5490641167374,332408.8233338858
cocoon,DLM,Linear,57150.47360171646,29.500976349539187,59785.557203710654,3574312850.158159
cayenne,DLM,Linear,2196.1498277609826,1.0056562597262895,2298.3530780678298,5282426.871463867
hive,DLM,Linear,32337.10690402903,4.607000416256808,35565.420034301525,1264899102.2162964
bcel,DLM,Linear,1449.4280631489428,2.5602293576373505,1838.3417464445386,3379500.3767207563
zookeeper,DLM,Linear,629.6531540890064,1.0090636276974616,807.0735162862825,651367.6606907042
felix,DLM,Linear,11621.054800302029,4.549375673850833,11990.588220927904,143774205.883855
beanutils,DLM,Linear,4829.746311718293,8.152806715213817,4937.124549205624,24375198.814368833
commons-cli,DLM,Linear,2000.2479907163608,30.318326918193744,2215.8775938024496,4910113.510715734
commons-exec,DLM,Linear,831.468274918825,19.221574465721133,843.2178777333928,711016.3893292069
net,DLM,Linear,827.5943837031349,3.0282504694357493,874.9930767641905,765612.8843852645
batik,DLM,Linear,18095.139150636045,9.80800802981232,33113.00697755634,1096471231.095695
ognl,DLM,Linear,8033.336347167016,44.075039785834214,8091.149103801207,65466693.81994308
santuario,DLM,Linear,10264.860718181633,9.97667298959795,10976.328007100437,120479776.51945746
daemon,DLM,Linear,69.03135757138436,1.7514094413439638,77.35685206116098,5984.082560812345
commons-jexl,DLM,Linear,5101.7124388842585,50.191066917573814,5331.30046254312,28422764.62191249
httpcore,DLM,Linear,10018.326908042072,10.959327740216402,12276.026753814482,150700832.8603689
thrift,DLM,Linear,936.8315506176427,4.835936512486591,967.7875573458592,936612.7561534648
configuration,DLM,Linear,738.3161877712314,1.9002201847081752,1219.1756855854162,1486389.3523226697
commons-io,DLM,Linear,1035.83415313368,3.5566230542666477,1597.9607210696909,2553478.4660815666
httpclient,DLM,Linear,13033.670130850158,14.02231711133622,18749.32694026396,351537260.71290785
archiva,DLM,Linear,20856.631972661864,24.449992050964585,23960.029132914107,574082996.0500927
validator,DLM,Linear,1945.6778807331575,10.939905179557366,2050.2124588537376,4203371.126439089
dbcp,DLM,Linear,2932.366085140261,16.49901717801405,2987.486506188635,8925075.624659175
codec,DLM,Linear,606.8371611124528,3.4857491082372647,691.9013938174062,478727.53876646934
vfs,DLM,Linear,942.4272432528347,3.7748617676095697,1197.1756263972868,1433229.480439736
