S1488_Actual,S1488_Simulated,S00112_Actual,S00112_Simulated,S1132_Actual,S1132_Simulated
0.0,0.8908388900930552,4.848116364598481,4.297647226198552,2.9444389791664403,4.16307628472785
0.0,0.0,4.8494227005125365,4.911446267689582,2.9444389791664403,1.6550698299013895
0.0,0.17980730499126685,4.850727332139201,2.946228809372591,2.9444389791664403,7.0618708126720104
0.0,0.0,4.852030263919617,5.06948804446106,2.9444389791664403,4.714551100601101
0.0,1.2082863659755667,4.853331500277589,4.46797405570678,2.9444389791664403,4.6610923163178635
0.0,0.7082340387324187,4.854631045619675,4.093326001148316,2.9444389791664403,2.4852457779650834
0.0,2.5826324100195235,4.855928904335275,3.9217985171948078,2.9444389791664403,3.912819428806328
0.0,0.8365664834851732,4.857225080796721,4.434339479978033,2.9444389791664403,3.497056386025417
0.0,0.8548663689817343,4.858519579359367,5.978279754749239,2.9444389791664403,3.9363192047411286
0.0,2.0016798694612046,4.859812404361672,3.569293593718262,2.9444389791664403,4.064996499581879
0.0,2.099679309388995,4.90527477843843,4.336094010150863,2.9444389791664403,4.105319437275049
0.0,0.0,4.948759890378168,5.717695837143648,2.9444389791664403,5.010906886614809
