S1213_Actual,S1213_Simulated,RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S00117_Actual,S00117_Simulated,S00122_Actual,S00122_Simulated,S1905_Actual,S1905_Simulated,UselessImportCheck_Actual,UselessImportCheck_Simulated,DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated,S1155_Actual,S1155_Simulated
5.840641657373398,5.571798508780526,5.726847747587197,5.185139882899668,5.823045895483019,5.343463927245053,6.327936783729195,5.818953647752599,1.9459101490553132,1.4504757272846034,2.772588722239781,2.7964584226213454,5.717027701406222,5.526050106457279,4.248495242049359,3.8020271685672746
5.786897381366708,5.403823563858944,5.717027701406222,5.529388713613004,5.814130531825066,4.530536106511004,6.311734809152915,5.733192907228932,1.9459101490553132,2.0264775190865683,2.833213344056216,2.938854046662202,5.700443573390687,5.635750825597488,4.248495242049359,3.762534939463205
5.783825182329737,5.431874348581679,5.720311776607412,5.54909982956173,5.811140992976701,4.860361887900227,6.302618975744905,6.430424706045196,1.9459101490553132,2.3988565076385657,2.9444389791664403,2.923691656007161,5.69035945432406,5.2457745838422865,4.248495242049359,3.080380037978885
5.7745515455444085,5.377400817898893,5.720311776607412,5.310204409001822,5.811140992976701,5.628664029976176,6.313548046277095,6.180402982613763,1.9459101490553132,1.8574131241810676,2.995732273553991,3.031272923501392,5.680172609017068,4.829862496416246,4.2626798770413155,4.148750476009353
5.755742213586912,5.228360709153174,5.720311776607412,5.112180686179531,5.811140992976701,5.213932649835082,6.3080984415095305,6.010817213341384,1.791759469228055,2.0488651821768373,2.995732273553991,2.2104284873629103,5.631211781821365,5.335592297864903,4.23410650459726,3.436972770469488
5.765191102784844,5.467429892100444,5.726847747587197,5.591686737447131,5.811140992976701,5.421365375699507,6.298949246855942,5.699626328514931,1.791759469228055,2.178591788875773,3.091042453358316,2.3686093808663498,5.634789603169249,6.2113078017957415,4.23410650459726,3.9188752618384184
5.765191102784844,6.0894518550216326,5.733341276897746,4.821147289880734,5.811140992976701,5.302943178885374,6.298949246855942,6.083453038197593,1.791759469228055,1.7019058705497425,2.772588722239781,2.841915321769633,5.66988092298052,5.310647972629351,4.23410650459726,4.002696855652718
5.75890177387728,5.57873269455832,5.703782474656201,6.264308325345391,5.808142489980444,5.148439897805191,6.278521424165844,5.123105248525348,1.791759469228055,1.4602077611429611,2.302585092994046,3.5037019683674067,5.6131281063880705,5.833378183620625,4.23410650459726,3.014919609437824
5.7745515455444085,5.298569713369105,5.717027701406222,5.248029617428888,5.808142489980444,5.331491886936913,6.278521424165844,6.168713801012917,1.791759469228055,1.4051349439838985,2.4849066497880004,2.723186093278334,5.616771097666572,6.048990742081391,4.23410650459726,3.6431009874359206
5.765191102784844,5.726653687712059,5.71042701737487,5.368617656920217,5.808142489980444,5.517513213263847,6.2878585601617845,5.83863896183158,1.791759469228055,1.1640544435508873,2.302585092994046,2.184160826778304,5.616771097666572,5.7734630132788505,4.23410650459726,3.557645106552986
5.777652323222656,5.156780417681712,5.707110264748875,4.908365753115932,5.755742213586912,5.314251528736983,6.3080984415095305,4.893288932857491,1.791759469228055,1.624944999719612,2.3978952727983707,1.933890956604319,5.66988092298052,5.6510187604356314,4.23410650459726,4.314178995670998
5.777652323222656,5.261803691173998,5.707110264748875,5.925130869098098,5.755742213586912,5.696266302083907,6.3080984415095305,5.130043623534595,1.791759469228055,0.6717263425258241,2.302585092994046,2.410946624322028,5.66988092298052,5.5403267496165265,4.23410650459726,4.204489053365742
