S1488_Actual,S1488_Simulated,S1905_Actual,S1905_Simulated,UselessImportCheck_Actual,UselessImportCheck_Simulated,DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated,S00112_Actual,S00112_Simulated,S1155_Actual,S1155_Simulated,S1132_Actual,S1132_Simulated
1.0986122886681098,1.0077415013145123,0.0,1.571048938306501,0.6931471805599453,0.9610498910441571,1.992430164690206,2.3875430850499346,3.3202283191284883,1.6889869029199953,0.0,0.0,0.0,0.18393647179709674
1.0986122886681098,1.0886232530543738,0.0,2.658672607256393,0.6931471805599453,1.0139773671486945,1.9694406464655074,3.3555843442791184,3.3262343431887,1.1012667596476016,0.0,0.0,0.0,0.14863368701598947
1.0986122886681098,0.8228990805162874,0.0,1.8392648081391523,0.6931471805599453,1.1510404819475084,1.9459101490553132,2.73225810816126,3.332204510175204,2.4835027010668345,0.0,0.0,0.0,0.0
1.0986122886681098,0.9658019138443835,0.0,1.9894020131607641,0.6931471805599453,0.8113561620244232,1.9299098077088723,3.9959672446831256,3.332204510175204,2.0000593461137117,0.0,0.0,0.0,0.6116396531272568
1.0986122886681098,1.0329259197559701,0.0,0.5969882331971812,0.6931471805599453,0.7195050603075098,1.9136492868370918,2.832173506645495,3.332204510175204,2.1217759731143504,0.0,0.0,0.0,0.0
1.0986122886681098,0.9578716649513093,0.0,0.824128591552434,0.6931471805599453,0.8833527298049253,1.8971199848858813,1.519544094987924,3.332204510175204,2.497686510404155,0.0,0.0,0.0,0.0
1.0986122886681098,0.8092754279107296,0.0,0.9876482109977102,0.6931471805599453,1.0191077807973636,1.8803128665695001,1.3110083385726998,3.332204510175204,1.9726824148545115,0.0,0.0,0.0,0.6983484774422171
1.0986122886681098,1.1265273374923153,0.0,2.7554806684595814,0.6931471805599453,1.5576688900750288,1.8632184332102,2.1174586275180936,3.332204510175204,0.9469148680561063,0.0,0.0,0.0,0.5905736835816581
1.0986122886681098,1.3359748884587836,0.0,1.1865136375543488,0.6931471805599453,0.21890632277705757,1.8458266904983307,2.1704832196799506,3.332204510175204,0.5293702417997364,0.0,0.0,0.0,0.10539042185549385
1.0986122886681098,1.298095829428891,0.0,0.5609786124645988,0.6931471805599453,0.63505326254041,1.8281271133989299,1.2404851918366773,3.332204510175204,1.8706369595396453,0.0,0.0,0.0,0.0
1.0986122886681098,0.7854449905341672,0.0,1.7037496177482498,0.6931471805599453,0.822752440325736,1.8101086078962514,3.406284296435433,3.332204510175204,2.425913485842429,0.0,0.0,0.0,0.0
1.0986122886681098,1.046838931674428,0.0,0.6170403271195839,0.6931471805599453,1.1850411115254416,1.791759469228055,2.2819759966218163,3.332204510175204,1.8280361415644275,0.0,0.0,0.0,0.4094508047583779
