,Actual_last_5_vals,Mean_Simulation,Simulated_38,Simulated_33,Simulated_17,Simulated_48,Simulated_6,Simulated_37,Simulated_12,Simulated_5,Simulated_31,Simulated_13,Simulated_41,Simulated_45,Simulated_40,Simulated_49,Simulated_46,Simulated_44,Simulated_28,Simulated_30,Simulated_7,Simulated_27,Simulated_39,Simulated_8,Simulated_2,Simulated_0,Simulated_34,Simulated_23,Simulated_42,Simulated_9,Simulated_36,Simulated_18,Simulated_32,Simulated_22,Simulated_16,Simulated_29,Simulated_24,Simulated_11,Simulated_4,Simulated_14,Simulated_43,Simulated_10,Simulated_19,Simulated_20,Simulated_25,Simulated_1,Simulated_15,Simulated_35,Simulated_26,Simulated_47,Simulated_3,Simulated_21
0,75578.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,77176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,78669.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,81155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,76751.27,76751.27,76751.27,76751.27,76751.27,76751.27,76751.27,76751.27,76751.27,76751.27,76751.27,76751.27,76751.27,76751.27,76751.27,76751.27,76751.27,76751.27,76751.27,76751.27,76751.27,76751.27,76751.27,76751.27,76751.27,76751.27,76751.27,76751.27,76751.27,76751.27,76751.27,76751.27,76751.27,76751.27,76751.27,76751.27,76751.27,76751.27,76751.27,76751.27,76751.27,76751.27,76751.27,76751.27,76751.27,76751.27,76751.27,76751.27,76751.27,76751.27,76751.27
6,,77143.05,75041.99,70360.49,78250.65,68863.23,76189.27,68944.89,87324.56,80624.98,80403.85,79660.94,70875.4,74547.52,76980.67,76765.16,78943.12,75253.85,81275.2,66155.85,80806.97,88448.93,84578.34,75690.6,69793.45,86058.78,80155.08,72018.57,75364.26,82128.52,83389.3,68537.58,69920.6,80023.57,76562.24,75620.66,88209.74,82689.87,82905.63,87052.08,83138.76,82599.31,68889.46,76215.68,66531.85,71543.34,67844.98,71747.39,85245.08,71407.83,74722.08,80850.4
7,,76392.92,73125.02,73384.83,76409.75,76735.46,79596.06,78952.44,82359.66,84173.32,77913.25,84498.59,89054.02,71443.14,68992.08,68566.77,72962.32,83421.87,62902.32,73823.68,68728.2,84673.43,81858.51,73738.37,74589.29,78749.62,78138.54,70812.8,71104.42,82892.82,70233.75,74853.75,77632.22,76501.55,73730.7,77269.69,83557.96,67868.76,70485.43,75115.06,87587.04,82400.94,76249.38,70249.85,76697.5,63530.96,69060.69,78409.78,90055.64,84953.36,73651.96,75949.59
8,,75785.65,80079.57,74184.17,79565.69,75044.44,82568.29,80377.39,73692.92,76459.45,79282.05,81920.99,73625.96,82004.99,75539.06,80119.73,81195.93,75021.48,71083.13,82538.1,67187.19,86492.77,70917.29,74896.86,79543.4,73192.91,77690.95,82155.5,69113.68,88376.84,66396.35,72186.15,84674.11,70549.85,73529.14,74763.97,79947.14,75847.66,68810.9,72772.34,69461.63,79226.02,66948.84,70892.78,71672.86,77897.61,75475.7,86572.93,70230.53,72386.42,68423.6,66745.2
9,,76789.7,87963.24,73452.36,77622.36,77718.26,73904.17,76126.84,75488.36,72785.1,79738.94,83864.4,76069.48,69481.94,68077.25,78225.21,66829.18,72228.27,83261.68,83282.42,79135.35,70666.09,78985.53,71210.74,72774.39,76336.37,75190.22,72722.89,79987.83,80446.87,74219.7,71080.6,74200.82,69726.25,83752.63,71453.56,73782.14,83508.4,90424.7,86449.06,73260.12,77352.39,63962.98,82958.02,75607.91,75824.33,80534.8,83020.04,88526.55,63134.54,71920.87,91209.02
