Project,Model,MAE,MAPE,RMSE,MSE
digester,DGLM,288.51,1.09,253.84,64432.6
collections,DGLM,3624.55,7.39,3238.84,10490075.95
commons-fileupload,DGLM,288.83,5.54,271.82,73886.91
jxpath,DGLM,843.83,2.97,711.86,506737.73
commons-jelly,DGLM,114.55,0.27,110.57,12225.56
dbutils,DGLM,809.57,14.23,894.2,799593.99
cocoon,DGLM,93113.05,58.13,94480.77,8926616259.73
cayenne,DGLM,17070.22,8.49,17469.58,305186317.25
hive,DGLM,199757.22,52.54,200454.98,40182198712.6
bcel,DGLM,1441.69,2.57,1602.22,2567110.42
zookeeper,DGLM,2920.7,4.87,2965.34,8793244.25
felix,DGLM,94595.96,68.18,95090.06,9042119000.05
beanutils,DGLM,1250.63,2.27,1146.47,1314394.31
commons-cli,DGLM,1006.9,15.72,958.43,918581.97
commons-exec,DGLM,360.66,7.47,353.31,124827.25
net,DGLM,1114.71,3.97,1035.52,1072302.79
batik,DGLM,32125.49,22.64,34403.37,1183592079.71
ognl,DGLM,357.44,1.34,357.44,127764.18
santuario,DGLM,9185.88,8.57,9727.27,94619771.11
daemon,DGLM,79.45,2.03,80.3,6447.7
commons-jexl,DGLM,2219.8,17.85,1931.13,3729272.29
httpcore,DGLM,7043.15,10.99,7240.87,52430146.66
thrift,DGLM,3378.64,19.85,3388.49,11481893.69
configuration,DGLM,3014.75,7.96,2928.54,8576325.74
commons-io,DGLM,5473.02,19.59,5090.12,25909354.28
httpclient,DGLM,9893.25,13.67,9025.87,81466401.56
archiva,DGLM,12802.27,16.56,17350.85,301051992.58
validator,DGLM,912.51,6.01,817.88,668932.0
dbcp,DGLM,584.56,3.91,806.56,650542.59
codec,DGLM,1424.39,9.62,1294.89,1676731.67
vfs,DGLM,1036.46,4.1,1128.69,1273934.11
