S00117_Actual,S00117_Simulated,S00108_Actual,S00108_Simulated
2.0794415416798357,2.636680193993027,1.3862943611198906,1.0166596193930002
2.0794415416798357,2.502827760208912,1.3862943611198906,0.2559773088419657
2.0794415416798357,2.5288630964104226,1.3862943611198906,1.2133732055716597
2.0794415416798357,1.6745401847533556,1.3862943611198906,0.0
2.0794415416798357,1.0385368668162749,1.3862943611198906,0.5843470562467558
2.0794415416798357,1.96539551907293,1.3862943611198906,1.1151847200564957
2.0794415416798357,2.4636498466704166,1.3862943611198906,0.131581761027459
2.0794415416798357,2.872280415379555,1.3862943611198906,0.0
2.1972245773362196,3.115386165607425,1.3862943611198906,0.5767594038296333
2.1972245773362196,2.4512990523586264,1.3862943611198906,0.8312399630652869
2.1972245773362196,4.376211721586544,1.3862943611198906,2.0021732717275813
2.1972245773362196,6.720625867864994,1.3862943611198906,0.7546042724437346
