S1213_Actual,S1213_Simulated,S00122_Actual,S00122_Simulated,DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated,S1226_Actual,S1226_Simulated,S00112_Actual,S00112_Simulated,S1155_Actual,S1155_Simulated,S00108_Actual,S00108_Simulated,S1151_Actual,S1151_Simulated,S1132_Actual,S1132_Simulated
0.1869835698997661,0.8654164806904682,0.0,0.19170098661429782,0.0,0.46172097945521134,0.0,0.11196008221551346,0.09785579000375867,0.46128570284664755,0.0,0.046991420998253174,0.0,0.19702941544705932,0.09785579000375867,0.6025512276968152,0.0,0.5169270278182613
0.17135825199668528,0.0,0.0,0.6987775840037458,0.0,0.0,0.0,0.1507488344685594,0.08934510033585,0.9955514053002497,0.0,0.4795736557951491,0.0,0.33556493013670663,0.08934510033585,0.0,0.0,0.6990796621365885
0.15548490284039515,0.8034150717666627,0.0,0.669211952361341,0.0,1.1686246949948795,0.0,0.5650201327574902,0.08076135664445859,0.0,0.0,0.26492374509890887,0.0,0.42800223563762074,0.08076135664445859,1.0458254971669785,0.0,0.8749584281031157
0.13935552091051145,1.0435537869867704,0.0,0.0,0.0,0.769855426169876,0.0,0.0,0.07210329390134397,1.3500879043689327,0.0,0.0,0.0,0.13589175560918942,0.07210329390134397,0.5664486837113277,0.0,0.3109598239215044
0.1229617111348351,0.7773768359509245,0.0,0.0,0.0,0.7273027228071056,0.0,0.0,0.06336961393258933,1.546678644429848,0.0,0.005483720139924632,0.0,0.27791865438557095,0.06336961393258933,0.32051921505167075,0.0,0.8207504991712584
0.10629465864962341,1.0081718846176981,0.0,1.5580764073435547,0.0,1.151586479461101,0.0,0.6109561022258863,0.0545589842504345,1.0590378007664962,0.0,0.295464742185041,0.0,0.656792368258891,0.0545589842504345,1.467355155102632,0.0,0.0
0.08934510033585008,0.29884479054618174,0.0,0.704426618645305,0.0,0.0,0.0,0.21377456337984013,0.04567003683318844,0.0,0.0,0.04940671220813948,0.0,0.0,0.04567003683318844,0.8392197318111771,0.0,1.989312187781021
0.07210329390134407,0.9440300020119389,0.0,0.45631483969928754,0.0,0.0,0.0,0.43184725630751186,0.036701366850428,0.6643997486263719,0.0,0.0,0.0,0.1376557859401628,0.036701366850428,0.5852253580996186,0.0,0.24407126156602144
0.0545589842504346,0.6637232501459853,0.0,0.39528558834260474,0.0,1.9857839302742348,0.0,0.8172667897719461,0.027651531330510157,0.016176387707598106,0.0,0.2520310232707503,0.0,0.6712301327980446,0.027651531330510157,0.3713853929410106,0.0,1.6990778832899331
0.0367013668504281,0.6802020094928458,0.0,0.5004744203342931,0.0,0.4292012305412224,0.0,0.0,0.018519047767237597,0.05728760418985468,0.0,0.28912349213619704,0.0,0.0,0.018519047767237597,0.17630646198401484,0.0,0.3603397166636684
0.018519047767237697,1.0254199365397294,0.0,0.5553122416596311,0.0,0.0,0.0,0.2329350924116789,0.009302392662313554,0.8372123539711229,0.0,0.10203217580828282,0.0,0.0,0.009302392662313554,0.8903812403639302,0.0,0.8701306853360518
0.0,0.5355388635614933,0.0,0.49695450867024316,0.0,1.953245401865793,0.0,0.0,0.0,0.5173636487599192,0.0,0.0807589676367655,0.0,0.18308350919476007,0.0,0.7767721309375621,0.0,0.0
