Index,Lower,Upper
134,3822.54,4127.8
135,3822.02,4140.87
136,3822.82,4153.0
137,3825.52,4166.08
138,3833.84,4181.07
139,3844.2,4195.41
140,3854.78,4209.73
141,3865.68,4221.96
142,3877.4,4233.67
143,3884.23,4237.38
144,3891.85,4241.19
145,3900.02,4243.92
146,3895.13,4260.96
147,3892.35,4276.29
148,3890.96,4290.62
149,3891.42,4305.93
150,3897.47,4323.19
151,3905.45,4339.91
152,3913.76,4356.51
153,3922.59,4370.82
154,3932.17,4384.65
155,3936.25,4391.11
156,3941.09,4397.71
157,3946.42,4403.28
158,3941.35,4420.49
159,3938.07,4436.32
160,3936.02,4451.31
161,3935.69,4467.42
162,3940.71,4485.7
163,3947.5,4503.61
164,3954.65,4521.37
165,3962.36,4536.79
166,3970.75,4551.83
167,3973.23,4559.88
