Index,Lower,Upper
147,14175.01,15924.87
148,14090.32,16254.4
149,13875.41,16230.65
150,13611.64,16243.42
151,13694.3,16246.58
152,13742.62,16327.2
153,13307.56,16506.62
154,12773.59,16792.6
155,12920.03,16839.6
156,13071.91,16873.39
157,13309.14,16991.36
158,11948.5,18185.33
159,12033.56,18278.9
160,12130.93,18389.08
161,12189.86,18454.04
162,12243.01,18512.45
163,12293.55,18566.93
164,12352.03,18628.43
165,12423.23,18700.99
166,12498.31,18777.33
167,12541.89,18817.7
168,12581.61,18855.96
169,12706.15,18978.92
170,12795.6,19074.32
171,12877.94,19172.39
172,12972.2,19287.49
173,13028.44,19355.13
174,13079.16,19415.96
175,13127.36,19472.79
176,13183.55,19536.58
177,13252.37,19611.52
178,13325.18,19690.13
179,13366.58,19732.68
180,13402.88,19772.56
181,13524.56,19896.6
182,13611.2,19993.03
183,13691.6,20091.24
