,Actual,Simulated_0,Simulated_1,Simulated_2,Simulated_3,Simulated_4,Simulated_5,Simulated_6,Simulated_7,Simulated_8,Simulated_9,Simulated_10,Simulated_11,Simulated_12,Simulated_13,Simulated_14,Simulated_15,Simulated_16,Simulated_17,Simulated_18,Simulated_19,Simulated_20,Simulated_21,Simulated_22,Simulated_23,Simulated_24,Simulated_25,Simulated_26,Simulated_27,Simulated_28,Simulated_29,Simulated_30,Simulated_31,Simulated_32,Simulated_33,Simulated_34,Simulated_35,Simulated_36,Simulated_37,Simulated_38,Simulated_39,Simulated_40,Simulated_41,Simulated_42,Simulated_43,Simulated_44,Simulated_45,Simulated_46,Simulated_47,Simulated_48,Simulated_49
0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6484.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7754.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11465.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10945.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10425.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9905.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,15969.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,20537.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,24273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,25928.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,29139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,29000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614,29602.066625842614
14,,29951.141495339416,27255.361438906806,27964.03282400558,27937.678777058307,27470.841150276694,28871.026802182587,30392.93124781,28534.133157278637,30062.329641550426,27884.124945913838,30142.853722148146,27990.509869307847,29058.037921979532,30906.153741061855,29027.83878580845,29101.182944011376,28262.28452781507,33136.17463803248,25990.726594277992,28144.18809058332,29536.349034080627,29436.30148192742,28818.637964401,25400.755390904724,29620.42674503442,29869.397800400253,28824.700597906954,29905.41887230815,29605.359803632295,29065.93209112241,28485.679677389562,30657.7286845733,28933.486573834383,29008.839736562582,28217.11585241916,26848.309201599055,31101.305615415225,30743.424439881044,28192.457822806715,25811.51772388935,29423.982940466984,30585.142270194916,29204.65429954098,28264.539328399624,30724.071735993242,25614.462110027656,29912.267063296924,29623.234869238968,30581.111767140243,28537.441882080726
15,,29044.420779805798,29336.159465624853,32128.55950365854,29612.750218964433,27055.406951863748,29279.534761830688,31046.80551591773,31472.968839457862,32141.950258392648,30047.590130892688,32592.67820449647,28995.267606428286,30346.391959760207,31429.695657583452,31176.156211586927,35444.20974056123,29397.726237837953,32973.10084681354,27022.130160366414,26432.795751990783,30545.73821733707,29490.022055288402,30022.319020843428,27202.613761818506,32758.415231141236,30561.10375617159,31460.172832478205,31854.135953198096,31477.87379228249,30133.487054931193,31073.72124507176,31724.936626544462,33090.379428479915,32346.16863107238,30841.28880766879,32541.224372651297,31535.788008716805,33871.28080977725,28054.86136880355,26767.028768873035,34176.52911533371,30195.647556257045,28115.452949803675,26146.429768188493,33595.87186179176,24139.378102120216,35968.91809627433,29838.546936035324,32933.09566138002,33629.22738104203
