Project,Model,Trend,Estimator,MAE,MAPE,RMSE,MSE
digester,DLT,logistic,stan-map,488.8,1.86,575.12,330763.18
collections,DLT,linear,stan-map,4220.72,7.86,4811.47,23150252.17
commons-fileupload,DLT,linear,stan-mcmc,254.28,4.47,319.27,101933.46
jxpath,DLT,loglinear,stan-mcmc,745.67,2.51,991.41,982895.14
commons-jelly,DLT,loglinear,stan-mcmc,36.15,0.08,40.51,1640.87
dbutils,DLT,logistic,stan-mcmc,24.8,0.37,30.46,927.78
cocoon,DLT,linear,stan-mcmc,21010.14,7.69,24323.67,591640807.8
cayenne,DLT,linear,stan-map,3489.23,1.59,3790.03,14364301.21
hive,DLT,linear,stan-map,50253.74,7.99,60449.36,3654125021.73
bcel,DLT,linear,stan-map,1521.83,2.74,1850.59,3424681.86
zookeeper,DLT,linear,stan-mcmc,1016.16,1.6,1098.57,1206858.72
felix,DLT,linear,stan-mcmc,12971.05,5.34,15967.07,254947218.62
beanutils,DLT,loglinear,stan-map,406.59,0.72,487.88,238022.96
commons-cli,DLT,loglinear,stan-map,396.59,5.11,424.31,180039.24
commons-exec,DLT,linear,stan-mcmc,152.83,2.84,196.96,38795.09
net,DLT,linear,stan-mcmc,371.8,1.26,429.0,184040.84
batik,DLT,flat,stan-map,26477.91,21.01,28670.24,821982380.91
ognl,DLT,linear,stan-mcmc,75.42,0.28,87.76,7701.2
santuario,DLT,linear,stan-map,3488.06,2.87,4118.77,16964302.12
daemon,DLT,linear,stan-mcmc,32.85,0.81,38.68,1495.95
commons-jexl,DLT,loglinear,stan-mcmc,2042.12,13.12,2488.13,6190797.91
httpcore,DLT,loglinear,stan-map,1585.4,2.1,2497.86,6239314.15
thrift,DLT,linear,stan-mcmc,383.49,1.84,430.11,184998.21
configuration,DLT,linear,stan-map,1406.38,3.22,2080.62,4328976.25
commons-io,DLT,linear,stan-mcmc,3779.9,10.24,5179.98,26832232.99
httpclient,DLT,logistic,stan-map,21166.88,33.9,22267.61,495846642.65
archiva,DLT,linear,stan-map,7562.74,7.27,13472.81,181516672.35
validator,DLT,linear,stan-map,609.51,3.66,821.69,675175.16
dbcp,DLT,loglinear,stan-map,461.48,3.28,683.72,467476.09
codec,DLT,linear,stan-map,883.64,5.2,1081.5,1169650.94
vfs,DLT,loglinear,stan-map,641.21,2.36,933.09,870660.72
