S1213_Actual,S1213_Simulated,RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S00117_Actual,S00117_Simulated,S1905_Actual,S1905_Simulated,UselessImportCheck_Actual,UselessImportCheck_Simulated,DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated,S1155_Actual,S1155_Simulated
5.840641657373398,5.905965091877481,5.726847747587197,5.406354149356674,5.823045895483019,5.623524564790877,1.9459101490553132,2.218394196647229,2.772588722239781,3.5535918260069694,5.717027701406222,5.778379256897303,4.248495242049359,3.9342304055250064
5.786897381366708,5.567632229088089,5.717027701406222,5.135983641319733,5.814130531825066,6.51381651914883,1.9459101490553132,2.009953939166189,2.833213344056216,5.20577605613701,5.700443573390687,6.098667514522674,4.248495242049359,4.779346611461974
5.783825182329737,6.1344326462709935,5.720311776607412,5.810902272416677,5.811140992976701,5.305082302091007,1.9459101490553132,2.086262027507323,2.9444389791664403,3.8464593265285782,5.69035945432406,5.49413584864772,4.248495242049359,3.9332543143937606
5.7745515455444085,6.693916409824521,5.720311776607412,5.681101287668473,5.811140992976701,5.1585496095658065,1.9459101490553132,2.202019854595379,2.995732273553991,3.649552612199682,5.680172609017068,5.023312692548545,4.2626798770413155,3.8957108590809613
5.755742213586912,6.44825336714931,5.720311776607412,5.586388842547801,5.811140992976701,5.444701272460585,1.791759469228055,3.0165926098282254,2.995732273553991,3.2861021139967677,5.631211781821365,5.799203583277541,4.23410650459726,4.2194949892327465
5.765191102784844,6.440723683153898,5.726847747587197,5.257778049063534,5.811140992976701,5.370399967103016,1.791759469228055,2.437956291541955,3.091042453358316,4.248685693469841,5.634789603169249,5.319156437184195,4.23410650459726,4.096688646618697
5.765191102784844,6.191778945340829,5.733341276897746,5.03992401400228,5.811140992976701,5.299910962211528,1.791759469228055,3.1043531925697154,2.772588722239781,3.2715277611408826,5.66988092298052,6.317175315681529,4.23410650459726,4.068751692055577
5.75890177387728,6.171913955482888,5.703782474656201,5.048263437627561,5.808142489980444,5.522788006557627,1.791759469228055,2.0361298230095755,2.302585092994046,4.695170987458284,5.6131281063880705,5.196551825037072,4.23410650459726,4.309548054553314
5.7745515455444085,6.239064278648668,5.717027701406222,5.200815522410863,5.808142489980444,6.135877080881874,1.791759469228055,1.2277463888184357,2.4849066497880004,2.773299160144557,5.616771097666572,6.335990960919129,4.23410650459726,4.329557903661033
5.765191102784844,5.810491419037634,5.71042701737487,5.491459465657393,5.808142489980444,5.994349755145771,1.791759469228055,3.1104762312050287,2.302585092994046,2.174849700605467,5.616771097666572,6.36270752491876,4.23410650459726,4.94202215807211
5.777652323222656,6.022958889257283,5.707110264748875,5.591787908725959,5.755742213586912,5.428341133939052,1.791759469228055,2.325256338871959,2.3978952727983707,2.350871946018144,5.66988092298052,5.657375905461083,4.23410650459726,3.61494232501809
5.777652323222656,6.204007587440388,5.707110264748875,5.100628300797339,5.755742213586912,6.043889471166584,1.791759469228055,0.8319627672905909,2.302585092994046,2.768758325898851,5.66988092298052,5.976320982509134,4.23410650459726,3.886896588830417
