RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,UselessImportCheck_Actual,UselessImportCheck_Simulated,DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated,S00112_Actual,S00112_Simulated,S1132_Actual,S1132_Simulated,S1481_Actual,S1481_Simulated
3.367295829986474,3.2213065757711092,0.0,0.9905216270195651,3.784189633918261,3.1506115414840274,5.181783550292085,3.5229343997453917,3.044522437723423,2.3890504800855394,0.0,1.1165674294446044
3.367295829986474,3.683171747505052,0.0,0.4247058561987662,3.784189633918261,3.170374351215769,5.181783550292085,2.946125124825366,3.044522437723423,2.3241882614605904,0.0,1.1116222769511206
3.367295829986474,2.65346740517844,0.0,0.1603156813745078,3.784189633918261,4.436967877848206,5.181783550292085,2.9039200099832483,3.044522437723423,0.5345103522859285,0.0,0.26084793356402114
3.367295829986474,3.21266373321652,0.0,0.9264971040575957,3.784189633918261,3.8121859666485673,5.181783550292085,5.2510078964982805,3.044522437723423,1.254955510098222,0.0,0.6002058372597604
3.367295829986474,2.90751283255922,0.0,0.0,3.784189633918261,2.67809178009217,5.181783550292085,5.351165379490325,3.044522437723423,3.489704658074944,0.0,1.449393056109562
3.367295829986474,3.4554936098457967,0.0,0.9938964803164938,3.784189633918261,1.6413978422819129,5.181783550292085,5.466651654808922,3.044522437723423,3.129109109248988,0.0,0.2921981829751764
3.367295829986474,2.8852348635578027,0.0,0.24853503961370615,3.784189633918261,1.8148728707985822,5.181783550292085,2.4501120329330925,3.044522437723423,0.7949242626869821,0.0,1.2652633257993904
3.367295829986474,2.7233924071116196,0.0,0.58948929722568,3.784189633918261,4.172303060187273,5.181783550292085,1.8954281582447283,3.044522437723423,1.9555198371762523,0.0,1.0476199244490374
3.367295829986474,2.9267123569288365,0.0,1.5781351798003733,3.784189633918261,2.715618099827458,5.181783550292085,3.926625989321291,3.044522437723423,1.963739808591618,0.0,0.0
3.367295829986474,4.309458290087369,0.0,0.0,3.784189633918261,3.2399701532022966,5.181783550292085,3.6015414966982617,3.044522437723423,1.9514961345547992,0.0,0.0
3.367295829986474,2.956880451550637,0.0,0.7291458627675913,3.784189633918261,2.6670586361238455,5.181783550292085,0.4728140492011561,3.044522437723423,2.078743712299555,0.0,0.0
3.367295829986474,3.6886273267570844,0.0,0.0,3.784189633918261,3.8959206306323906,5.181783550292085,2.2790800165429914,3.044522437723423,2.7256433486242275,0.0,1.3363888980019136
