S1213_Actual,S1213_Simulated,RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S00117_Actual,S00117_Simulated,S00122_Actual,S00122_Simulated,S1905_Actual,S1905_Simulated,UselessImportCheck_Actual,UselessImportCheck_Simulated,DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated,S1155_Actual,S1155_Simulated
5.583496308781699,5.838279315717641,5.147494476813453,5.327647526730385,5.1647859739235145,5.543792954251299,5.953243334287785,6.106110015416523,1.9459101490553132,1.8837506097673702,2.5649493574615367,3.267928771273048,6.040254711277414,5.853141988774267,3.8918202981106265,3.9414172092587876
5.575949103146316,6.514666005809987,5.159055299214529,5.421631453651505,5.170483995038151,5.499484452427952,5.948034989180646,5.910551565450399,1.9459101490553132,1.8278009495855179,2.4849066497880004,3.0692409169745956,6.059123195581797,6.258665676050865,3.828641396489095,3.413043142248166
5.572154032177765,5.957278380163905,5.170483995038151,5.652473228557617,5.176149732573829,6.0474496152207395,5.953243334287785,6.438642843406144,1.9459101490553132,0.3530118893521723,2.3978952727983707,3.4008892092433713,6.0844994130751715,4.717245574203072,3.828641396489095,3.8504638571442644
5.796057750765372,6.1413879863964524,5.768320995793772,4.651941771838892,5.817111159963204,5.647411114751088,6.313548046277095,6.8244148514713645,1.9459101490553132,1.0126868521548893,2.70805020110221,2.798725325826172,6.293419278846481,6.471051098784599,4.1588830833596715,3.7919721505647583
5.796057750765372,5.869688748800863,5.720311776607412,5.4489473397144845,5.814130531825066,5.4548544707192415,6.274762021241939,5.592161679647559,1.9459101490553132,1.5023541437288945,2.70805020110221,3.8442082207937096,5.700443573390687,5.792319876246273,4.1588830833596715,3.987845631664393
5.84354441703136,5.654831946201614,5.726847747587197,5.323306191049118,5.814130531825066,6.107512764015036,6.272877006546167,6.239288510221384,1.9459101490553132,1.125343307829893,2.8903717578961645,3.8390377749606865,5.707110264748875,5.52169127277835,4.1588830833596715,4.340219801385434
5.8377304471659395,5.990359984890941,5.726847747587197,4.978735369321327,5.814130531825066,5.3479784156101715,6.269096283706261,5.767192839200347,1.9459101490553132,3.2997450414960774,2.5649493574615367,3.482152909136548,5.697093486505405,5.794660544331454,4.174387269895637,4.714940413666042
5.834810737062605,5.541066709819965,5.739792912179234,4.868474766554659,5.817111159963204,5.484819531395815,6.285998094508865,5.349309014019997,1.9459101490553132,1.1692575876342768,2.302585092994046,2.315974629973407,5.697093486505405,6.436710349598004,4.189654742026425,4.189927786610626
5.834810737062605,5.933005851361773,5.7430031878094825,5.113528570101376,5.817111159963204,5.696104864726255,6.306275286948016,5.64053706708471,1.9459101490553132,2.5369336058665626,2.6390573296152584,3.1987720409902356,5.723585101952381,5.429481063034014,4.189654742026425,2.960385979310946
5.8377304471659395,6.521687518779687,5.723585101952381,4.960245553227598,5.820082930352362,4.943119712041273,6.333279628139691,5.893495227567107,1.9459101490553132,2.38229884990106,2.0794415416798357,3.405894074740938,5.703782474656201,5.482913081790434,4.248495242049359,3.9392259190507217
5.8377304471659395,5.531286999100985,5.723585101952381,5.954685368403549,5.820082930352362,4.663503055598401,6.335054251498059,6.239598309572557,1.9459101490553132,1.769417945110879,2.0794415416798357,3.1569510156555602,5.713732805509369,4.992825775887397,4.248495242049359,3.2505757487040583
5.840641657373398,5.553146307588269,5.726847747587197,5.940402558090334,5.820082930352362,5.0502048542932405,6.327936783729195,6.681258103735208,1.9459101490553132,2.9531710940292957,2.833213344056216,2.044880849862642,5.703782474656201,6.5161971686705655,4.248495242049359,4.155186800516241
5.840641657373398,5.816818619159453,5.726847747587197,5.448901552666197,5.823045895483019,5.742070542775263,6.327936783729195,7.466291411823602,1.9459101490553132,1.6631092321811085,2.772588722239781,2.704048429019909,5.717027701406222,6.130938920554076,4.248495242049359,3.8138214369093744
5.786897381366708,5.754554965549384,5.717027701406222,5.744756593191757,5.814130531825066,4.87855867812753,6.311734809152915,6.341704163646379,1.9459101490553132,1.4329746555550193,2.833213344056216,2.7129821484536776,5.700443573390687,5.78185381131701,4.248495242049359,3.9529351301471616
5.783825182329737,5.888125015748684,5.720311776607412,5.383814581683762,5.811140992976701,5.613100316462731,6.302618975744905,6.497660575650614,1.9459101490553132,1.1270051273580493,2.9444389791664403,2.755883647106435,5.69035945432406,5.477615492356856,4.248495242049359,3.5142630752588477
5.7745515455444085,6.091220977623147,5.720311776607412,5.187297643251525,5.811140992976701,5.478440669363604,6.313548046277095,5.361967615515773,1.9459101490553132,2.3090127599028234,2.995732273553991,2.5856378411354366,5.680172609017068,5.717832177684713,4.2626798770413155,3.649274208492345
5.755742213586912,5.779597871496492,5.720311776607412,5.635143822629929,5.811140992976701,5.938536320063083,6.3080984415095305,6.1990883335808915,1.791759469228055,2.133011401178601,2.995732273553991,3.335541863220486,5.631211781821365,5.5649743326921834,4.23410650459726,4.597245559687529
5.765191102784844,6.539092809851231,5.726847747587197,5.281015666766614,5.811140992976701,4.979630228623663,6.298949246855942,5.697538303733358,1.791759469228055,2.98794518548051,3.091042453358316,3.5366892002247075,5.634789603169249,5.52288640703123,4.23410650459726,3.6923147949954833
5.765191102784844,5.570907105034776,5.733341276897746,4.3801745654287565,5.811140992976701,6.292144889885502,6.298949246855942,6.626023487319986,1.791759469228055,2.0591601891791234,2.772588722239781,2.4425182997226074,5.66988092298052,5.560182640001932,4.23410650459726,4.258753552682068
5.75890177387728,6.326145655185189,5.703782474656201,4.4133125300693266,5.808142489980444,5.022214492406849,6.278521424165844,6.608446546489505,1.791759469228055,0.9839480026422599,2.302585092994046,3.6876755822881284,5.6131281063880705,6.878649595789562,4.23410650459726,3.646316749701202
