Project,Model,MAE,MAPE,RMSE,MSE
digester,DGLM,850.57,3.33,1276.86,1630373.95
collections,DGLM,2049.96,4.4,1881.29,3539244.0
commons-fileupload,DGLM,67.68,1.34,58.51,3423.14
jxpath,DGLM,22.02,0.08,30.83,950.73
commons-jelly,DGLM,67.08,0.16,46.37,2150.13
dbutils,DGLM,951.97,21.03,756.13,571735.55
cocoon,DGLM,46406.92,37.91,55998.5,3135831594.24
cayenne,DGLM,14191.64,7.12,14259.37,203329655.24
hive,DGLM,121577.8,44.79,115411.36,13319782437.72
bcel,DGLM,436.97,0.78,492.58,242635.97
zookeeper,DGLM,1410.32,2.36,1411.24,1991596.2
felix,DGLM,64890.17,60.89,64986.1,4223193803.25
beanutils,DGLM,2015.58,3.8,1445.2,2088617.24
commons-cli,DGLM,425.11,7.89,358.95,128845.91
commons-exec,DGLM,526.0,12.27,400.21,160170.94
net,DGLM,912.37,3.42,631.58,398889.57
batik,DGLM,25053.64,17.24,25314.28,640812960.18
ognl,DGLM,205.36,0.78,195.51,38223.21
santuario,DGLM,9271.26,9.59,7688.86,59118545.77
daemon,DGLM,52.39,1.36,53.14,2824.1
commons-jexl,DGLM,844.95,8.28,809.52,655326.89
httpcore,DGLM,5479.91,9.54,4419.74,19534103.77
thrift,DGLM,2437.97,14.67,2462.05,6061677.46
configuration,DGLM,2479.56,7.1,1999.46,3997835.61
commons-io,DGLM,1387.58,5.7,1532.61,2348882.86
httpclient,DGLM,6180.78,8.45,6310.39,39821040.32
archiva,DGLM,17467.65,20.24,16836.38,283463733.89
validator,DGLM,138.91,0.95,201.48,40592.52
dbcp,DGLM,1228.46,7.3,1277.05,1630853.71
codec,DGLM,699.27,5.13,645.91,417198.02
vfs,DGLM,859.66,3.6,829.1,687412.35
