S00117_Actual,S00117_Simulated,S00108_Actual,S00108_Simulated
2.0794415416798357,2.744867328905036,1.3862943611198906,1.6701743144112084
2.0794415416798357,2.3235505060733663,1.3862943611198906,1.6677339636775994
2.0794415416798357,2.390775563238417,1.3862943611198906,1.5156494585871183
2.0794415416798357,3.0743111247091472,1.3862943611198906,1.150978769201343
2.0794415416798357,2.2182069039372845,1.3862943611198906,1.4450900356685745
2.0794415416798357,3.1493283057030528,1.3862943611198906,1.8787467016598
2.0794415416798357,2.2154127661422907,1.3862943611198906,1.7363364068952476
2.0794415416798357,2.6135697274422687,1.3862943611198906,1.93385219223554
2.0794415416798357,2.220469334347485,1.3862943611198906,0.9968686512915906
2.0794415416798357,3.408451210896069,1.3862943611198906,1.5212227179497588
2.0794415416798357,3.2737758186112424,1.3862943611198906,2.3338074678964698
2.0794415416798357,1.2762751934800451,1.3862943611198906,2.6249393304642394
2.0794415416798357,4.397102291343806,1.3862943611198906,1.4231512061938048
2.0794415416798357,4.185364649128363,1.3862943611198906,1.4301604216478006
2.0794415416798357,0.7387005538863476,1.3862943611198906,1.3486402452685788
2.0794415416798357,1.9248716251521025,1.3862943611198906,1.5875467274755857
2.0794415416798357,2.072441197587691,1.3862943611198906,0.9888797498473892
2.0794415416798357,3.4503265446518006,1.3862943611198906,2.1404494920694517
2.0794415416798357,2.5830988404189608,1.3862943611198906,2.202930288876485
2.0794415416798357,3.325347219901857,1.3862943611198906,2.1076960554820934
2.1972245773362196,2.5339669411071517,1.3862943611198906,1.7704255023262483
2.1972245773362196,1.990398326571248,1.3862943611198906,1.6944268750498104
2.1972245773362196,4.075788785436353,1.3862943611198906,1.7000229052536813
2.1972245773362196,1.525704640971334,1.3862943611198906,1.4887794503997052
