S1213_Actual,S1213_Simulated,S1488_Actual,S1488_Simulated,S1226_Actual,S1226_Simulated,S00112_Actual,S00112_Simulated,S1155_Actual,S1155_Simulated,S1151_Actual,S1151_Simulated,S1132_Actual,S1132_Simulated,S1481_Actual,S1481_Simulated
6.231792923176292,5.832544900256322,2.302585092994046,2.4183113517375956,3.713572066704308,3.642199275588672,4.634728988229636,4.5861501896523835,2.5649493574615367,2.564944532903371,4.143134726391533,4.145216305477002,3.912023005428146,4.063322905614243,1.8458266904983307,1.7850121840998805
6.231137400373402,5.876875907804361,2.302585092994046,2.584498153889556,3.713572066704308,3.6336322541291093,4.634728988229636,4.671480475402911,2.5649493574615367,2.564948998198105,4.143134726391533,4.1378535679112485,3.912023005428146,4.094640276293163,1.8971199848858813,1.555233728480271
6.230481447578482,5.9502163755040876,2.302585092994046,2.6801377465989042,3.713572066704308,3.6766878455631384,4.634728988229636,4.597324045997411,2.5649493574615367,2.564939026265282,4.143134726391533,4.147791370780106,3.912023005428146,4.041985720919831,1.9459101490553132,2.222472459883214
6.230700146321836,5.2218079070586905,2.302585092994046,2.298806775744643,3.713572066704308,3.6978709692562264,4.634728988229636,4.678567596300857,2.5649493574615367,2.564947832795089,4.143134726391533,4.154737881702546,3.912023005428146,4.2573268653293574,1.9459101490553132,2.0703519734855136
6.230918797246507,6.657910511118515,2.302585092994046,2.471737544503102,3.713572066704308,3.6774865684129154,4.634728988229636,4.628574965228701,2.5649493574615367,2.564943755775208,4.143134726391533,4.141540652055136,3.912023005428146,4.081220304179845,1.9459101490553132,1.6174573319934573
6.231137400373402,5.763533678726339,2.302585092994046,2.361424007492524,3.713572066704308,3.7244708738464545,4.634728988229636,4.590294602050865,2.5649493574615367,2.5649458453087006,4.143134726391533,4.152691005563967,3.912023005428146,4.130939873974205,1.9459101490553132,2.274170157152501
6.231355955723415,6.085020438934647,2.302585092994046,2.472280712802152,3.713572066704308,3.6531188118520936,4.634728988229636,4.591175863208983,2.5649493574615367,2.564939968675084,4.143134726391533,4.151471264529181,3.912023005428146,4.17892821421963,1.9459101490553132,2.293067079006982
6.231574463317423,6.054947817829119,2.302585092994046,2.5559385938539654,3.713572066704308,3.660200641756483,4.634728988229636,4.5545489938185595,2.5649493574615367,2.5649444275663686,4.143134726391533,4.144639198815284,3.912023005428146,3.909743382717082,1.9459101490553132,1.981456480899291
6.231792923176292,6.186412181344989,2.302585092994046,2.4557245925140077,3.713572066704308,3.673897136802703,4.634728988229636,4.540095351745575,2.5649493574615367,2.564949960896492,4.143134726391533,4.14599795524508,3.912023005428146,3.948931910830245,1.9459101490553132,1.559400442644184
6.232011335320876,5.839502024320869,2.302585092994046,2.4779561787345328,3.713572066704308,3.6602272905007274,4.634728988229636,4.525798466528659,2.5649493574615367,2.564944553133495,4.143134726391533,4.1458590517106595,3.912023005428146,4.420355068428325,1.9459101490553132,1.688259048284261
6.232229699772011,5.075220537321349,2.302585092994046,2.560323615769881,3.713572066704308,3.590070863336725,4.634728988229636,4.578699289561973,2.5649493574615367,2.5649423331706007,4.143134726391533,4.145665377050566,3.912023005428146,3.99956756936665,1.9459101490553132,2.1389811718734872
6.2324480165505225,5.276787498964842,2.302585092994046,2.3041613097828613,3.713572066704308,3.6592150544180386,4.634728988229636,4.612538088640165,2.5649493574615367,2.564939498670795,4.143134726391533,4.148895424910513,3.912023005428146,4.038557965117792,1.9459101490553132,1.4247859787696493
