RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S00117_Actual,S00117_Simulated,DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated,S00112_Actual,S00112_Simulated
3.1354942159291497,3.3944648510557793,1.791759469228055,1.8846891797460226,5.924255797414532,4.9970275798126575,6.863803391452954,5.996123387695626
3.1354942159291497,3.833129284141937,1.791759469228055,1.563857514538712,6.018593214496234,5.398973715173969,6.893656354602635,7.568424977824795
3.1354942159291497,4.648621726818493,1.791759469228055,2.3872476221865764,6.025865973825314,6.439041793304606,6.904750769961838,5.840894079672408
3.1354942159291497,2.2409932551844536,1.791759469228055,1.502918731863757,6.028278520230698,5.543315859334332,6.907755278982137,6.564888486575301
3.1354942159291497,3.2636716465589384,1.791759469228055,1.3045073814553347,6.018593214496234,6.305413717386247,6.926577033222725,4.774421097489478
3.258096538021482,3.6023147057577725,1.791759469228055,1.2324853082745577,5.937536205082426,7.031229301666696,6.903747257584598,7.62772786023089
3.258096538021482,3.160701045258753,2.772588722239781,1.0042670225923565,6.016157159698354,5.111620932144259,7.00397413672268,5.148454948069115
3.332204510175204,2.638146904184871,2.6390573296152584,1.6982382885667393,5.713732805509369,5.452743545405252,6.760414691083428,7.380840348972702
3.332204510175204,4.573772584799654,2.6390573296152584,1.8112101538238934,5.71042701737487,5.069318233629496,6.7357800142423265,4.4171840418637345
3.332204510175204,3.696885118746889,2.6390573296152584,1.6148566639069883,5.683579767338681,4.136573196511208,6.734591659972948,4.908429608194505
3.332204510175204,2.7489804728269487,2.6390573296152584,2.135505795153695,5.69035945432406,4.715699074733197,6.738152494595957,5.8809099829093086
3.332204510175204,2.573871929024677,2.6390573296152584,2.3023747258000253,5.697093486505405,5.368922638763932,6.7580945044277305,5.763502690569126
