S1213_Actual,S1213_Simulated,RedundantThrowsDeclarationCheck_Actual,RedundantThrowsDeclarationCheck_Simulated,S00117_Actual,S00117_Simulated,S00122_Actual,S00122_Simulated,S1905_Actual,S1905_Simulated,DuplicatedBlocks_Actual,DuplicatedBlocks_Simulated,S1155_Actual,S1155_Simulated
5.840641657373398,5.905965091877481,5.726847747587197,5.406354149356674,5.823045895483019,5.623524564790877,6.327936783729195,6.198847681621536,1.9459101490553132,2.218394196647229,5.717027701406222,5.778379256897303,4.248495242049359,3.9342304055250064
5.786897381366708,5.899433197753193,5.717027701406222,5.00931108278147,5.814130531825066,5.875849393363873,6.311734809152915,5.983482749489947,1.9459101490553132,2.6924373223717755,5.700443573390687,5.214695512150101,4.248495242049359,3.6788354104003327
5.783825182329737,5.5052170760862476,5.720311776607412,4.590489633594782,5.811140992976701,5.579499409079788,6.302618975744905,6.207440291373123,1.9459101490553132,2.062090111363211,5.69035945432406,5.876309943791966,4.248495242049359,3.6144279166895235
5.7745515455444085,6.285405097940675,5.720311776607412,4.754549983771772,5.811140992976701,5.949312964504952,6.313548046277095,6.321456252993897,1.9459101490553132,3.7193308756037675,5.680172609017068,5.887106376465887,4.2626798770413155,3.9655577989490216
5.755742213586912,5.363231357879367,5.720311776607412,5.312772876542776,5.811140992976701,5.715265476289155,6.3080984415095305,6.0441347782520785,1.791759469228055,2.545025774431342,5.631211781821365,6.1244321645612745,4.23410650459726,3.5923398397604043
5.765191102784844,5.359721917163849,5.726847747587197,5.410406781191103,5.811140992976701,5.21178915117724,6.298949246855942,5.721612978259056,1.791759469228055,3.1411388962414413,5.634789603169249,4.871863408480558,4.23410650459726,4.232294131931342
5.765191102784844,6.059073852802599,5.733341276897746,4.8396591549763475,5.811140992976701,6.2229210781763085,6.298949246855942,6.37162163802229,1.791759469228055,0.23009793927887778,5.66988092298052,5.0318834083267685,4.23410650459726,3.349032086336973
5.75890177387728,4.990380956868783,5.703782474656201,5.881225140111364,5.808142489980444,5.318383874006242,6.278521424165844,5.850654434808622,1.791759469228055,0.5720663874379539,5.6131281063880705,6.047276296579217,4.23410650459726,4.39442194524423
5.7745515455444085,6.4982788938315545,5.717027701406222,6.285217023839312,5.808142489980444,5.048155642205427,6.278521424165844,6.389571872183684,1.791759469228055,2.158160715742726,5.616771097666572,5.835714368264814,4.23410650459726,3.745434790375164
5.765191102784844,5.674543860246414,5.71042701737487,4.247544598924382,5.808142489980444,5.7161024556076425,6.2878585601617845,6.282953014631175,1.791759469228055,2.948931790568731,5.616771097666572,5.784596550986656,4.23410650459726,3.3671755872092453
5.777652323222656,6.633729838188696,5.707110264748875,4.409278246937678,5.755742213586912,5.643049908536667,6.3080984415095305,6.177981300524904,1.791759469228055,2.9826384184966805,5.66988092298052,5.3453444724122985,4.23410650459726,3.8020138578609224
5.777652323222656,6.237531600297693,5.707110264748875,5.896652163048865,5.755742213586912,5.783590443579773,6.3080984415095305,6.570552488336708,1.791759469228055,2.7376153739195725,5.66988092298052,6.0883050130059,4.23410650459726,4.158568241869975
